A-n60-k9
Algorithm,Best,Worst,Average,Std
RANDOM,3016.00,4301.00,3696.41,178.22
GREEDY,1693.00,2012.00,1846.12,68.48
SA,1434.00,1548.00,1479.90,30.54
GA,1391.00,1519.00,1466.20,35.98
