A-n32-k5
Algorithm,Best,Worst,Average,Std
RANDOM,1536.00,2579.00,2120.18,140.06
GREEDY,1029.00,1245.00,1128.16,56.57
SA,802.00,855.00,825.80,16.04
GA,796.00,866.00,837.60,24.27
