A-n54-k7
Algorithm,Best,Worst,Average,Std
RANDOM,2644.00,3866.00,3290.59,172.20
GREEDY,1349.00,1612.00,1506.66,63.03
SA,1208.00,1346.00,1253.10,36.47
GA,1203.00,1298.00,1252.90,31.43
