A-n45-k6
Algorithm,Best,Worst,Average,Std
RANDOM,2189.00,3444.00,2816.97,153.38
GREEDY,1212.00,1733.00,1428.36,122.39
SA,997.00,1081.00,1021.20,25.08
GA,985.00,1187.00,1083.10,55.85
