A-n37-k6
Algorithm,Best,Worst,Average,Std
RANDOM,1747.00,2637.00,2217.64,130.47
GREEDY,1224.00,1466.00,1334.72,64.85
SA,950.00,1016.00,977.90,21.76
GA,951.00,1041.00,998.40,26.40
