A-n39-k5
Algorithm,Best,Worst,Average,Std
RANDOM,1640.00,2654.00,2179.25,131.11
GREEDY,990.00,1239.00,1106.00,51.41
SA,836.00,910.00,863.80,18.76
GA,833.00,903.00,876.90,20.56
