A-n48-k7
Algorithm,Best,Worst,Average,Std
RANDOM,2335.00,3512.00,2938.86,167.70
GREEDY,1371.00,1679.00,1482.36,71.41
SA,1112.00,1186.00,1151.30,22.59
GA,1133.00,1254.00,1191.50,42.55
