generation;best;average;worst
0;1421.00;3287.10;3811.00
1;1421.00;3071.03;3702.00
2;1421.00;2642.28;3510.00
3;1421.00;1907.53;2634.00
4;1421.00;1745.78;2486.00
5;1421.00;1721.65;2311.00
6;1413.00;1737.38;2242.00
7;1402.00;1741.40;2206.00
8;1402.00;1730.63;2232.00
9;1394.00;1728.57;2305.00
10;1394.00;1723.89;2243.00
11;1394.00;1729.46;2232.00
12;1392.00;1723.87;2195.00
13;1392.00;1730.20;2243.00
14;1392.00;1713.59;2194.00
15;1388.00;1715.97;2316.00
16;1382.00;1727.77;2339.00
17;1382.00;1719.92;2234.00
18;1382.00;1718.37;2327.00
19;1378.00;1726.32;2269.00
20;1378.00;1741.78;2279.00
21;1378.00;1735.89;2273.00
22;1378.00;1742.65;2381.00
23;1369.00;1734.40;2241.00
24;1369.00;1728.85;2294.00
25;1367.00;1714.49;2330.00
26;1354.00;1685.29;2258.00
27;1354.00;1668.49;2262.00
28;1352.00;1652.31;2400.00
29;1352.00;1623.07;2323.00
30;1352.00;1635.67;2226.00
31;1352.00;1600.19;2239.00
32;1352.00;1570.28;2208.00
33;1352.00;1584.02;2164.00
34;1352.00;1557.57;2206.00
35;1334.00;1590.68;2245.00
36;1334.00;1600.67;2155.00
37;1334.00;1610.11;2187.00
38;1334.00;1615.28;2204.00
39;1333.00;1619.74;2264.00
40;1333.00;1595.16;2223.00
41;1330.00;1639.04;2224.00
42;1329.00;1643.31;2192.00
43;1329.00;1572.94;2256.00
44;1326.00;1601.97;2163.00
45;1326.00;1638.05;2066.00
46;1326.00;1661.56;2108.00
47;1326.00;1646.55;2071.00
48;1326.00;1647.17;2151.00
49;1326.00;1646.19;2096.00
50;1326.00;1650.84;2177.00
51;1326.00;1651.12;2193.00
52;1326.00;1641.61;2168.00
53;1326.00;1628.60;2180.00
54;1320.00;1636.40;2152.00
55;1320.00;1657.92;2096.00
56;1320.00;1645.51;2182.00
57;1316.00;1665.52;2242.00
58;1316.00;1645.82;2098.00
59;1316.00;1633.80;2171.00
60;1316.00;1639.66;2126.00
61;1313.00;1640.94;2046.00
62;1313.00;1628.81;2111.00
63;1313.00;1626.53;2086.00
64;1313.00;1630.45;2202.00
65;1294.00;1644.35;2081.00
66;1294.00;1642.66;2081.00
67;1294.00;1648.29;2153.00
68;1294.00;1620.81;2138.00
69;1294.00;1617.21;2156.00
70;1294.00;1625.07;2195.00
71;1294.00;1619.67;2173.00
72;1294.00;1603.36;2088.00
73;1294.00;1616.08;2140.00
74;1294.00;1606.90;2089.00
75;1294.00;1602.81;2169.00
76;1294.00;1612.02;2132.00
77;1294.00;1621.53;2064.00
78;1294.00;1637.94;2222.00
79;1294.00;1652.70;2094.00
80;1294.00;1632.63;2161.00
81;1294.00;1634.88;2088.00
82;1294.00;1601.66;2114.00
83;1294.00;1614.30;2205.00
84;1292.00;1608.51;2116.00
85;1292.00;1616.37;2096.00
86;1292.00;1626.67;2105.00
87;1292.00;1621.66;2160.00
88;1292.00;1621.21;2218.00
89;1292.00;1630.92;2203.00
90;1292.00;1635.27;2163.00
91;1292.00;1639.45;2223.00
92;1292.00;1643.25;2159.00
93;1292.00;1625.16;2074.00
94;1292.00;1622.28;2254.00
95;1292.00;1636.99;2068.00
96;1292.00;1612.78;2038.00
97;1292.00;1629.33;2237.00
98;1292.00;1621.14;2173.00
99;1292.00;1618.25;2145.00
100;1292.00;1615.66;2219.00
101;1292.00;1623.84;2212.00
102;1292.00;1631.66;2226.00
103;1292.00;1620.73;2152.00
104;1292.00;1610.89;2220.00
105;1292.00;1632.52;2241.00
106;1286.00;1626.71;2235.00
107;1286.00;1624.52;2217.00
108;1276.00;1628.26;2255.00
109;1276.00;1609.71;2333.00
110;1276.00;1598.03;2220.00
111;1276.00;1602.15;2167.00
112;1276.00;1626.65;2179.00
113;1276.00;1627.76;2305.00
114;1276.00;1622.05;2169.00
115;1276.00;1622.54;2161.00
116;1276.00;1615.55;2199.00
117;1276.00;1593.49;2135.00
118;1276.00;1624.73;2147.00
119;1276.00;1621.07;2096.00
120;1276.00;1628.52;2229.00
121;1276.00;1613.69;2200.00
122;1276.00;1622.90;2320.00
123;1276.00;1617.55;2196.00
124;1276.00;1630.35;2139.00
125;1276.00;1627.12;2162.00
126;1276.00;1618.34;2191.00
127;1276.00;1612.06;2112.00
128;1276.00;1643.15;2384.00
129;1276.00;1625.30;2132.00
130;1276.00;1621.41;2129.00
131;1276.00;1645.69;2279.00
132;1276.00;1621.67;2173.00
133;1276.00;1638.57;2112.00
134;1276.00;1621.61;2201.00
135;1276.00;1623.10;2222.00
136;1276.00;1637.45;2245.00
137;1270.00;1629.03;2206.00
138;1270.00;1623.81;2318.00
139;1270.00;1636.94;2234.00
140;1270.00;1634.49;2220.00
141;1270.00;1616.99;2147.00
142;1270.00;1624.47;2158.00
143;1270.00;1624.53;2089.00
144;1270.00;1600.71;2254.00
145;1270.00;1612.31;2264.00
146;1270.00;1639.85;2202.00
147;1270.00;1620.14;2205.00
148;1270.00;1613.23;2163.00
149;1270.00;1618.65;2282.00
150;1270.00;1590.99;2147.00
151;1270.00;1622.52;2261.00
152;1270.00;1609.14;2247.00
153;1270.00;1616.10;2387.00
154;1270.00;1619.81;2163.00
155;1270.00;1617.20;2276.00
156;1270.00;1608.67;2381.00
157;1270.00;1614.19;2176.00
158;1270.00;1599.75;2231.00
159;1270.00;1617.00;2336.00
160;1264.00;1636.79;2191.00
161;1264.00;1615.86;2155.00
162;1264.00;1607.23;2185.00
163;1264.00;1593.16;2177.00
164;1264.00;1602.90;2174.00
165;1264.00;1618.39;2200.00
166;1264.00;1607.90;2192.00
167;1264.00;1621.52;2249.00
168;1264.00;1617.42;2225.00
169;1264.00;1576.75;2098.00
170;1264.00;1623.50;2229.00
171;1264.00;1613.29;2196.00
172;1264.00;1631.40;2231.00
173;1264.00;1602.19;2182.00
174;1264.00;1617.36;2138.00
175;1264.00;1607.83;2177.00
176;1264.00;1609.92;2168.00
177;1264.00;1611.52;2367.00
178;1264.00;1612.71;2156.00
179;1264.00;1603.74;2200.00
180;1264.00;1610.66;2226.00
181;1264.00;1619.63;2315.00
182;1264.00;1585.04;2233.00
183;1264.00;1615.95;2178.00
184;1264.00;1605.34;2126.00
185;1264.00;1605.82;2116.00
186;1264.00;1610.94;2171.00
187;1264.00;1621.52;2200.00
188;1264.00;1603.94;2310.00
189;1264.00;1607.51;2176.00
190;1264.00;1601.52;2168.00
191;1264.00;1624.94;2114.00
192;1264.00;1611.24;2204.00
193;1264.00;1604.73;2114.00
194;1264.00;1595.97;2114.00
195;1264.00;1600.05;2089.00
196;1264.00;1619.27;2195.00
197;1264.00;1611.05;2194.00
198;1264.00;1629.68;2058.00
199;1264.00;1608.09;2218.00
200;1264.00;1597.80;2164.00
201;1264.00;1614.40;2153.00
202;1264.00;1615.63;2306.00
203;1264.00;1636.62;2237.00
204;1264.00;1629.06;2060.00
205;1264.00;1606.73;2270.00
206;1264.00;1623.52;2214.00
207;1264.00;1628.71;2241.00
208;1264.00;1622.00;2128.00
209;1264.00;1630.26;2148.00
210;1264.00;1633.42;2157.00
211;1264.00;1645.12;2203.00
212;1264.00;1649.84;2279.00
213;1264.00;1652.92;2259.00
214;1264.00;1623.89;2216.00
215;1264.00;1638.11;2266.00
216;1264.00;1619.16;2160.00
217;1264.00;1613.45;2177.00
218;1264.00;1603.23;2223.00
219;1264.00;1602.94;2253.00
220;1264.00;1601.94;2325.00
221;1264.00;1611.31;2128.00
222;1264.00;1614.53;2275.00
223;1264.00;1619.51;2302.00
224;1264.00;1625.24;2202.00
225;1264.00;1626.94;2227.00
226;1264.00;1629.05;2246.00
227;1264.00;1629.59;2242.00
228;1264.00;1626.49;2149.00
229;1264.00;1626.99;2180.00
230;1264.00;1638.36;2172.00
231;1264.00;1611.85;2158.00
232;1264.00;1621.01;2218.00
233;1264.00;1623.34;2171.00
234;1264.00;1652.25;2298.00
235;1264.00;1623.32;2236.00
236;1264.00;1616.42;2194.00
237;1264.00;1633.48;2216.00
238;1264.00;1643.95;2254.00
239;1264.00;1611.75;2122.00
240;1264.00;1627.02;2249.00
241;1264.00;1607.55;2112.00
242;1264.00;1602.04;2251.00
243;1264.00;1612.23;2197.00
244;1264.00;1618.94;2313.00
245;1264.00;1607.89;2234.00
246;1264.00;1647.17;2253.00
247;1264.00;1657.32;2192.00
248;1264.00;1640.70;2188.00
249;1264.00;1631.68;2205.00
250;1264.00;1642.71;2333.00
251;1264.00;1626.75;2266.00
252;1264.00;1624.84;2290.00
253;1264.00;1612.03;2225.00
254;1264.00;1616.29;2238.00
255;1264.00;1620.61;2233.00
256;1264.00;1616.68;2257.00
257;1264.00;1598.41;2239.00
258;1264.00;1613.74;2217.00
259;1264.00;1621.45;2162.00
260;1264.00;1623.83;2134.00
261;1264.00;1611.58;2224.00
262;1264.00;1639.21;2264.00
263;1264.00;1627.35;2207.00
264;1264.00;1612.75;2204.00
265;1264.00;1630.60;2216.00
266;1264.00;1609.49;2118.00
267;1264.00;1613.38;2380.00
268;1264.00;1617.36;2138.00
269;1264.00;1625.16;2247.00
270;1264.00;1601.52;2279.00
271;1264.00;1598.13;2189.00
272;1264.00;1600.63;2342.00
273;1264.00;1611.23;2167.00
274;1264.00;1621.00;2187.00
275;1264.00;1622.53;2199.00
276;1264.00;1629.80;2170.00
277;1264.00;1595.77;2121.00
278;1264.00;1607.04;2188.00
279;1264.00;1619.28;2243.00
280;1264.00;1607.20;2249.00
281;1264.00;1622.14;2205.00
282;1264.00;1600.70;2140.00
283;1264.00;1597.27;2196.00
284;1264.00;1615.92;2213.00
285;1264.00;1622.77;2166.00
286;1264.00;1619.90;2280.00
287;1264.00;1616.85;2195.00
288;1264.00;1627.10;2219.00
289;1264.00;1601.39;2209.00
290;1264.00;1605.70;2133.00
291;1264.00;1625.46;2193.00
292;1264.00;1593.08;2158.00
293;1264.00;1609.02;2189.00
294;1264.00;1625.47;2269.00
295;1264.00;1621.68;2219.00
296;1264.00;1625.30;2441.00
297;1264.00;1610.43;2256.00
298;1264.00;1624.97;2185.00
299;1264.00;1616.86;2179.00
300;1264.00;1612.94;2160.00
301;1264.00;1615.43;2163.00
302;1264.00;1600.70;2250.00
303;1264.00;1620.12;2172.00
304;1264.00;1645.37;2431.00
305;1264.00;1623.72;2345.00
306;1264.00;1617.62;2259.00
307;1264.00;1629.19;2188.00
308;1264.00;1630.78;2285.00
309;1264.00;1611.69;2299.00
310;1264.00;1627.91;2298.00
311;1264.00;1632.84;2302.00
312;1264.00;1628.12;2247.00
313;1264.00;1628.57;2222.00
314;1264.00;1646.43;2354.00
315;1264.00;1632.89;2348.00
316;1264.00;1601.74;2189.00
317;1264.00;1616.66;2246.00
318;1264.00;1620.49;2343.00
319;1264.00;1626.10;2276.00
320;1264.00;1636.47;2234.00
321;1264.00;1629.79;2177.00
322;1264.00;1636.73;2218.00
323;1264.00;1638.80;2211.00
324;1264.00;1627.07;2224.00
325;1264.00;1643.76;2259.00
326;1264.00;1607.43;2297.00
327;1264.00;1615.80;2397.00
328;1264.00;1612.96;2247.00
329;1264.00;1594.04;2360.00
330;1264.00;1621.97;2189.00
331;1264.00;1591.26;2201.00
332;1264.00;1611.83;2294.00
333;1264.00;1608.54;2149.00
334;1264.00;1635.34;2182.00
335;1264.00;1629.29;2171.00
336;1264.00;1633.38;2290.00
337;1264.00;1630.22;2265.00
338;1264.00;1633.38;2336.00
339;1264.00;1609.15;2310.00
340;1264.00;1610.39;2353.00
341;1264.00;1615.20;2191.00
342;1264.00;1633.41;2121.00
343;1264.00;1613.12;2199.00
344;1264.00;1608.54;2231.00
345;1264.00;1620.59;2280.00
346;1264.00;1605.96;2248.00
347;1264.00;1614.04;2207.00
348;1264.00;1630.56;2209.00
349;1264.00;1609.42;2308.00
350;1264.00;1622.84;2163.00
351;1264.00;1644.25;2197.00
352;1264.00;1622.31;2289.00
353;1264.00;1613.91;2258.00
354;1264.00;1623.32;2323.00
355;1264.00;1620.14;2217.00
356;1264.00;1622.96;2203.00
357;1264.00;1608.45;2270.00
358;1264.00;1624.85;2283.00
359;1264.00;1631.99;2250.00
360;1264.00;1621.74;2336.00
361;1264.00;1626.08;2330.00
362;1264.00;1620.75;2287.00
363;1264.00;1614.07;2257.00
364;1264.00;1621.67;2234.00
365;1264.00;1625.73;2216.00
366;1264.00;1626.16;2265.00
367;1264.00;1628.37;2281.00
368;1264.00;1619.15;2354.00
369;1264.00;1627.73;2215.00
370;1264.00;1635.07;2293.00
371;1264.00;1638.00;2248.00
372;1264.00;1636.24;2240.00
373;1264.00;1647.73;2223.00
374;1264.00;1626.91;2283.00
375;1264.00;1626.86;2219.00
376;1264.00;1626.35;2228.00
377;1264.00;1636.09;2282.00
378;1264.00;1620.30;2258.00
379;1264.00;1625.48;2581.00
380;1264.00;1621.51;2227.00
381;1264.00;1636.66;2339.00
382;1264.00;1614.11;2156.00
383;1264.00;1615.09;2274.00
384;1264.00;1642.10;2245.00
385;1264.00;1617.15;2274.00
386;1264.00;1635.85;2242.00
387;1264.00;1621.53;2172.00
388;1264.00;1635.12;2257.00
389;1264.00;1618.70;2231.00
390;1264.00;1628.56;2226.00
391;1264.00;1623.44;2336.00
392;1264.00;1629.53;2153.00
393;1264.00;1627.46;2203.00
394;1264.00;1618.94;2225.00
395;1264.00;1613.30;2186.00
396;1264.00;1624.53;2342.00
397;1264.00;1625.79;2223.00
398;1264.00;1627.29;2272.00
399;1264.00;1627.18;2334.00
400;1264.00;1630.00;2226.00
401;1264.00;1610.89;2126.00
402;1264.00;1612.97;2256.00
403;1264.00;1634.23;2308.00
404;1264.00;1635.38;2168.00
405;1264.00;1619.09;2196.00
406;1264.00;1620.19;2168.00
407;1264.00;1637.71;2213.00
408;1264.00;1618.31;2255.00
409;1264.00;1600.43;2300.00
410;1264.00;1611.98;2239.00
411;1264.00;1625.01;2290.00
412;1264.00;1623.55;2316.00
413;1264.00;1602.59;2198.00
414;1264.00;1607.30;2214.00
415;1264.00;1618.54;2209.00
416;1264.00;1632.75;2306.00
417;1264.00;1615.88;2319.00
418;1264.00;1615.32;2281.00
419;1264.00;1610.48;2161.00
420;1264.00;1622.46;2367.00
421;1264.00;1624.23;2272.00
422;1264.00;1624.04;2226.00
423;1264.00;1608.85;2221.00
424;1264.00;1651.82;2203.00
425;1264.00;1605.94;2159.00
426;1264.00;1612.83;2178.00
427;1264.00;1608.30;2216.00
428;1264.00;1579.71;2161.00
429;1264.00;1610.71;2259.00
430;1264.00;1607.12;2177.00
431;1264.00;1599.18;2198.00
432;1264.00;1627.32;2293.00
433;1264.00;1636.61;2252.00
434;1264.00;1610.85;2199.00
435;1264.00;1617.83;2188.00
436;1264.00;1612.51;2248.00
437;1264.00;1611.19;2230.00
438;1264.00;1607.24;2164.00
439;1264.00;1631.68;2189.00
440;1264.00;1612.54;2251.00
441;1264.00;1631.61;2353.00
442;1264.00;1617.75;2361.00
443;1264.00;1623.82;2395.00
444;1264.00;1629.95;2297.00
445;1264.00;1608.97;2172.00
446;1264.00;1632.75;2256.00
447;1264.00;1632.43;2251.00
448;1264.00;1629.52;2203.00
449;1264.00;1631.19;2192.00
450;1264.00;1639.05;2349.00
451;1264.00;1633.22;2263.00
452;1264.00;1628.54;2189.00
453;1264.00;1619.07;2285.00
454;1264.00;1650.87;2262.00
455;1264.00;1644.20;2243.00
456;1264.00;1624.83;2300.00
457;1264.00;1617.35;2189.00
458;1264.00;1651.04;2306.00
459;1264.00;1628.37;2386.00
460;1264.00;1633.55;2277.00
461;1264.00;1643.34;2209.00
462;1264.00;1631.47;2291.00
463;1264.00;1633.95;2252.00
464;1264.00;1634.99;2227.00
465;1264.00;1636.20;2301.00
466;1264.00;1636.99;2292.00
467;1264.00;1611.51;2260.00
468;1264.00;1614.48;2294.00
469;1264.00;1626.41;2322.00
470;1264.00;1643.65;2174.00
471;1264.00;1642.07;2212.00
472;1264.00;1638.71;2248.00
473;1259.00;1647.83;2247.00
474;1259.00;1641.31;2208.00
475;1259.00;1637.15;2312.00
476;1259.00;1639.54;2164.00
477;1259.00;1634.24;2252.00
478;1259.00;1634.88;2307.00
479;1259.00;1637.30;2295.00
480;1259.00;1643.43;2279.00
481;1259.00;1620.64;2251.00
482;1259.00;1622.61;2267.00
483;1259.00;1659.98;2545.00
484;1259.00;1638.29;2251.00
485;1259.00;1656.30;2260.00
486;1259.00;1648.22;2495.00
487;1259.00;1649.10;2275.00
488;1259.00;1627.61;2307.00
489;1259.00;1643.94;2408.00
490;1259.00;1636.12;2354.00
491;1259.00;1626.75;2353.00
492;1259.00;1655.81;2302.00
493;1259.00;1627.37;2364.00
494;1259.00;1653.68;2327.00
