generation;best;average;worst
0;1421.00;3289.95;3787.00
1;1421.00;3065.55;3643.00
2;1421.00;2600.06;3565.00
3;1421.00;1934.72;2729.00
4;1421.00;1804.31;2305.00
5;1419.00;1772.24;2383.00
6;1419.00;1764.94;2341.00
7;1419.00;1729.23;2325.00
8;1419.00;1713.98;2238.00
9;1419.00;1733.11;2330.00
10;1411.00;1733.42;2223.00
11;1411.00;1728.04;2355.00
12;1388.00;1750.10;2344.00
13;1388.00;1736.08;2269.00
14;1388.00;1765.79;2278.00
15;1387.00;1735.39;2284.00
16;1387.00;1755.44;2326.00
17;1387.00;1736.09;2259.00
18;1387.00;1742.03;2312.00
19;1387.00;1747.12;2229.00
20;1381.00;1740.84;2266.00
21;1359.00;1744.63;2241.00
22;1359.00;1728.92;2297.00
23;1357.00;1711.27;2355.00
24;1357.00;1712.96;2266.00
25;1356.00;1715.61;2275.00
26;1356.00;1706.44;2286.00
27;1352.00;1703.90;2235.00
28;1352.00;1743.94;2372.00
29;1352.00;1730.62;2259.00
30;1352.00;1716.94;2236.00
31;1352.00;1719.09;2430.00
32;1352.00;1749.59;2292.00
33;1352.00;1730.08;2290.00
34;1352.00;1719.11;2344.00
35;1352.00;1667.12;2325.00
36;1352.00;1622.72;2316.00
37;1342.00;1604.44;2220.00
38;1342.00;1606.74;2230.00
39;1342.00;1645.27;2334.00
40;1339.00;1597.47;2240.00
41;1339.00;1628.89;2360.00
42;1339.00;1616.34;2249.00
43;1339.00;1642.42;2230.00
44;1339.00;1629.64;2222.00
45;1339.00;1572.37;2260.00
46;1339.00;1593.28;2320.00
47;1339.00;1584.01;2331.00
48;1339.00;1592.91;2234.00
49;1339.00;1592.10;2283.00
50;1339.00;1590.24;2405.00
51;1339.00;1582.56;2220.00
52;1339.00;1594.17;2236.00
53;1339.00;1573.00;2280.00
54;1339.00;1586.14;2301.00
55;1339.00;1578.39;2278.00
56;1339.00;1572.16;2324.00
57;1339.00;1595.69;2300.00
58;1339.00;1578.32;2229.00
59;1339.00;1588.19;2218.00
60;1339.00;1582.56;2355.00
61;1339.00;1573.78;2236.00
62;1339.00;1592.52;2247.00
63;1339.00;1590.51;2239.00
64;1339.00;1598.64;2265.00
65;1339.00;1593.58;2213.00
66;1339.00;1576.18;2303.00
67;1339.00;1590.72;2315.00
68;1339.00;1575.09;2254.00
69;1339.00;1577.51;2331.00
70;1339.00;1602.49;2213.00
71;1339.00;1592.37;2267.00
72;1339.00;1591.07;2229.00
73;1339.00;1583.09;2345.00
74;1339.00;1601.62;2312.00
75;1339.00;1569.35;2366.00
76;1339.00;1591.36;2279.00
77;1339.00;1611.19;2253.00
78;1338.00;1590.74;2386.00
79;1329.00;1579.79;2213.00
80;1329.00;1579.36;2328.00
81;1329.00;1637.85;2306.00
82;1329.00;1643.63;2416.00
83;1329.00;1579.81;2198.00
84;1329.00;1568.80;2311.00
85;1329.00;1594.57;2168.00
86;1329.00;1611.40;2227.00
87;1329.00;1607.96;2351.00
88;1329.00;1622.09;2246.00
89;1329.00;1614.13;2240.00
90;1310.00;1627.10;2393.00
91;1310.00;1612.52;2309.00
92;1310.00;1633.33;2229.00
93;1310.00;1635.68;2240.00
94;1310.00;1702.82;2304.00
95;1310.00;1699.16;2306.00
96;1310.00;1702.35;2323.00
97;1310.00;1698.86;2321.00
98;1310.00;1707.78;2335.00
99;1310.00;1702.33;2245.00
100;1310.00;1685.26;2201.00
101;1310.00;1698.80;2271.00
102;1310.00;1694.30;2287.00
103;1310.00;1695.15;2296.00
104;1310.00;1662.08;2284.00
105;1310.00;1656.43;2268.00
106;1310.00;1647.35;2185.00
107;1310.00;1646.97;2244.00
108;1310.00;1639.10;2296.00
109;1310.00;1617.74;2237.00
110;1310.00;1644.17;2341.00
111;1310.00;1644.82;2214.00
112;1310.00;1654.91;2219.00
113;1310.00;1664.60;2268.00
114;1310.00;1648.21;2347.00
115;1310.00;1625.81;2280.00
116;1310.00;1636.41;2284.00
117;1306.00;1639.59;2200.00
118;1306.00;1652.34;2294.00
119;1306.00;1634.37;2320.00
120;1306.00;1626.64;2155.00
121;1306.00;1612.70;2164.00
122;1306.00;1606.88;2362.00
123;1303.00;1641.33;2229.00
124;1303.00;1628.12;2248.00
125;1303.00;1649.90;2237.00
126;1303.00;1650.52;2182.00
127;1303.00;1640.66;2223.00
128;1303.00;1630.64;2203.00
129;1303.00;1627.75;2271.00
130;1303.00;1635.58;2258.00
131;1303.00;1612.73;2321.00
132;1303.00;1629.12;2312.00
133;1303.00;1615.90;2254.00
134;1303.00;1625.12;2231.00
135;1301.00;1608.25;2198.00
136;1301.00;1626.66;2369.00
137;1301.00;1616.48;2168.00
138;1301.00;1634.60;2334.00
139;1295.00;1622.56;2277.00
140;1295.00;1626.60;2365.00
141;1295.00;1641.21;2237.00
142;1295.00;1629.72;2294.00
143;1295.00;1590.14;2379.00
144;1295.00;1579.38;2184.00
145;1295.00;1608.45;2300.00
146;1295.00;1555.74;2241.00
147;1295.00;1594.02;2251.00
148;1295.00;1603.01;2168.00
149;1295.00;1582.64;2224.00
150;1294.00;1609.03;2400.00
151;1291.00;1599.03;2224.00
152;1291.00;1619.78;2201.00
153;1291.00;1640.50;2308.00
154;1289.00;1612.02;2249.00
155;1285.00;1592.79;2299.00
156;1285.00;1614.18;2166.00
157;1285.00;1616.14;2205.00
158;1285.00;1642.73;2368.00
159;1283.00;1646.89;2230.00
160;1283.00;1635.78;2268.00
161;1283.00;1639.65;2293.00
162;1283.00;1674.30;2261.00
163;1283.00;1678.76;2212.00
164;1283.00;1676.18;2289.00
165;1283.00;1658.27;2205.00
166;1283.00;1683.63;2371.00
167;1283.00;1675.74;2260.00
168;1283.00;1674.77;2265.00
169;1283.00;1674.06;2403.00
170;1283.00;1668.40;2248.00
171;1283.00;1647.59;2258.00
172;1283.00;1650.96;2254.00
173;1283.00;1635.54;2329.00
174;1283.00;1633.79;2333.00
175;1283.00;1636.11;2166.00
176;1283.00;1646.06;2259.00
177;1283.00;1614.98;2359.00
178;1283.00;1608.71;2329.00
179;1283.00;1633.68;2393.00
180;1283.00;1591.31;2211.00
181;1283.00;1573.50;2206.00
182;1283.00;1601.27;2385.00
183;1283.00;1594.94;2207.00
184;1283.00;1577.05;2376.00
185;1283.00;1569.66;2276.00
186;1283.00;1576.84;2251.00
187;1283.00;1584.28;2231.00
188;1283.00;1617.46;2344.00
189;1283.00;1602.52;2291.00
190;1283.00;1610.86;2360.00
191;1283.00;1601.12;2180.00
192;1283.00;1581.45;2239.00
193;1279.00;1602.20;2205.00
194;1279.00;1597.56;2189.00
195;1279.00;1605.94;2215.00
196;1279.00;1601.48;2340.00
197;1279.00;1606.92;2323.00
198;1279.00;1588.17;2338.00
199;1279.00;1624.15;2302.00
200;1279.00;1619.09;2353.00
201;1279.00;1596.22;2332.00
202;1279.00;1573.62;2260.00
203;1279.00;1599.54;2273.00
204;1279.00;1592.43;2319.00
205;1279.00;1582.37;2190.00
206;1279.00;1594.61;2307.00
207;1279.00;1592.11;2293.00
208;1279.00;1600.83;2244.00
209;1279.00;1573.71;2242.00
210;1279.00;1605.71;2254.00
211;1279.00;1595.16;2222.00
212;1279.00;1606.13;2364.00
213;1279.00;1604.65;2216.00
214;1279.00;1600.07;2378.00
