generation;best;average;worst
0;1475.00;2928.12;3417.00
1;1475.00;2706.83;3233.00
2;1475.00;2369.13;3013.00
3;1475.00;1865.32;2469.00
4;1447.00;1691.30;2158.00
5;1447.00;1695.56;2300.00
6;1447.00;1703.40;2121.00
7;1447.00;1702.13;2137.00
8;1447.00;1709.31;2195.00
9;1447.00;1714.16;2162.00
10;1441.00;1719.25;2257.00
11;1441.00;1734.49;2163.00
12;1441.00;1734.10;2235.00
13;1441.00;1714.93;2221.00
14;1441.00;1736.25;2283.00
15;1404.00;1734.58;2272.00
16;1404.00;1723.43;2221.00
17;1404.00;1708.19;2262.00
18;1393.00;1706.41;2246.00
19;1393.00;1696.00;2157.00
20;1388.00;1692.06;2180.00
21;1388.00;1693.36;2171.00
22;1388.00;1673.01;2135.00
23;1388.00;1683.02;2251.00
24;1353.00;1665.77;2123.00
25;1337.00;1683.02;2202.00
26;1337.00;1654.34;2085.00
27;1337.00;1640.08;2102.00
28;1337.00;1636.21;2106.00
29;1336.00;1646.65;2067.00
30;1336.00;1641.12;2086.00
31;1317.00;1656.50;2285.00
32;1317.00;1645.44;2138.00
33;1317.00;1645.53;2105.00
34;1317.00;1627.62;2246.00
35;1317.00;1632.31;2099.00
36;1310.00;1630.81;2127.00
37;1310.00;1649.13;2175.00
38;1310.00;1631.22;2210.00
39;1310.00;1647.69;2165.00
40;1310.00;1636.64;2185.00
41;1310.00;1643.62;2077.00
42;1310.00;1641.46;2311.00
43;1310.00;1656.53;2171.00
44;1310.00;1624.71;2175.00
45;1310.00;1620.39;2031.00
46;1310.00;1615.62;2136.00
47;1310.00;1608.42;2143.00
48;1310.00;1616.77;2121.00
49;1310.00;1630.98;2250.00
50;1310.00;1624.38;2151.00
51;1310.00;1628.27;2141.00
52;1310.00;1650.10;2122.00
53;1310.00;1631.00;2056.00
54;1310.00;1628.41;2175.00
55;1310.00;1626.83;2180.00
56;1310.00;1632.59;2186.00
57;1310.00;1625.86;2185.00
58;1310.00;1611.85;2139.00
59;1310.00;1613.99;2189.00
60;1310.00;1620.11;2118.00
61;1310.00;1637.54;2202.00
62;1310.00;1637.16;2172.00
63;1310.00;1620.37;2226.00
64;1310.00;1620.69;2155.00
65;1310.00;1625.60;2170.00
66;1310.00;1621.77;2191.00
67;1310.00;1637.70;2041.00
68;1310.00;1631.99;2248.00
69;1310.00;1623.18;2229.00
70;1310.00;1626.57;2157.00
71;1310.00;1615.34;2199.00
72;1310.00;1620.41;2145.00
73;1310.00;1618.33;2075.00
74;1310.00;1622.50;2155.00
75;1310.00;1617.37;2099.00
76;1292.00;1606.49;2111.00
77;1292.00;1607.40;2067.00
78;1292.00;1623.23;2098.00
79;1292.00;1620.96;2190.00
80;1292.00;1609.46;2113.00
81;1292.00;1618.55;2163.00
82;1292.00;1615.63;2155.00
83;1292.00;1617.63;2113.00
84;1292.00;1615.78;2116.00
85;1292.00;1612.96;2112.00
86;1292.00;1616.83;2068.00
87;1292.00;1608.89;2061.00
88;1292.00;1618.56;2185.00
