generation;best;average;worst
0;1334.00;2212.45;2596.00
1;1334.00;2084.72;2478.00
2;1334.00;1932.12;2373.00
3;1334.00;1733.14;2151.00
4;1334.00;1600.35;2313.00
5;1302.00;1572.85;2099.00
6;1298.00;1572.27;2062.00
7;1298.00;1573.52;2089.00
8;1274.00;1569.13;2033.00
9;1272.00;1548.78;2078.00
10;1245.00;1535.30;2109.00
11;1235.00;1514.92;2006.00
12;1202.00;1509.30;2047.00
13;1202.00;1508.38;1947.00
14;1187.00;1482.76;1944.00
15;1142.00;1489.51;1918.00
16;1142.00;1466.78;1976.00
17;1137.00;1440.13;1890.00
18;1137.00;1419.78;1944.00
19;1136.00;1400.18;1824.00
20;1131.00;1397.29;1793.00
21;1131.00;1381.71;1803.00
22;1127.00;1382.94;1934.00
23;1127.00;1360.41;1799.00
24;1123.00;1379.48;1886.00
25;1123.00;1377.23;1932.00
26;1111.00;1391.60;1906.00
27;1111.00;1379.73;1974.00
28;1111.00;1357.74;1905.00
29;1111.00;1354.25;1920.00
30;1100.00;1369.33;1771.00
31;1100.00;1352.98;1847.00
32;1088.00;1348.85;1858.00
33;1088.00;1328.52;1917.00
34;1077.00;1335.87;1795.00
35;1077.00;1341.63;1815.00
36;1077.00;1304.74;1896.00
37;1077.00;1338.13;1836.00
38;1077.00;1349.98;1883.00
39;1077.00;1349.14;1948.00
40;1074.00;1335.13;1899.00
41;1069.00;1340.61;1819.00
42;1067.00;1334.20;1839.00
43;1067.00;1345.87;1885.00
44;1066.00;1328.89;1797.00
45;1066.00;1319.40;1860.00
46;1064.00;1311.28;1833.00
47;1063.00;1302.94;1893.00
48;1063.00;1302.52;1861.00
49;1063.00;1319.53;1747.00
50;1061.00;1303.43;1827.00
51;1061.00;1270.63;1961.00
52;1056.00;1308.71;1894.00
53;1056.00;1275.86;1838.00
54;1051.00;1283.91;1810.00
55;1051.00;1286.81;1805.00
56;1051.00;1263.34;1835.00
57;1051.00;1281.67;1829.00
58;1051.00;1293.96;1880.00
59;1051.00;1289.00;1903.00
60;1051.00;1291.35;1810.00
61;1051.00;1269.36;1825.00
62;1051.00;1269.30;1981.00
63;1051.00;1267.04;1796.00
64;1051.00;1267.43;1936.00
65;1051.00;1267.46;1983.00
66;1051.00;1275.90;1856.00
67;1051.00;1271.49;1907.00
68;1051.00;1256.02;1926.00
69;1051.00;1265.05;1806.00
70;1051.00;1286.49;1819.00
71;1051.00;1274.50;2008.00
72;1051.00;1272.29;1818.00
73;1051.00;1256.35;1929.00
74;1051.00;1256.54;1776.00
75;1051.00;1267.80;1832.00
