A-n45-k6
Algorithm,Best,Worst,Average,Std
RANDOM,2192.00,3335.00,2812.30,153.80
GREEDY,1212.00,1733.00,1428.36,122.39
SA,953.00,997.00,971.00,14.22
GA,961.00,1054.00,1008.80,27.21
