generation;best;average;worst
0;1421.00;3284.78;3748.00
1;1421.00;3030.99;3705.00
2;1421.00;2583.01;3461.00
3;1421.00;1913.65;2698.00
4;1421.00;1768.96;2215.00
5;1413.00;1745.21;2323.00
6;1413.00;1747.52;2260.00
7;1412.00;1735.38;2215.00
8;1412.00;1730.24;2301.00
9;1393.00;1726.48;2326.00
10;1393.00;1719.56;2245.00
11;1381.00;1704.13;2360.00
12;1376.00;1707.86;2339.00
13;1376.00;1683.47;2320.00
14;1372.00;1676.24;2272.00
15;1372.00;1678.54;2198.00
16;1372.00;1666.20;2218.00
17;1367.00;1684.13;2269.00
18;1364.00;1682.11;2265.00
19;1354.00;1681.12;2192.00
20;1354.00;1668.76;2224.00
21;1354.00;1645.58;2243.00
22;1354.00;1656.34;2218.00
23;1354.00;1641.16;2215.00
24;1354.00;1641.88;2284.00
25;1349.00;1642.45;2317.00
26;1349.00;1635.45;2206.00
27;1349.00;1650.10;2314.00
28;1349.00;1683.05;2315.00
29;1349.00;1656.10;2262.00
30;1349.00;1631.62;2262.00
31;1347.00;1622.38;2289.00
32;1347.00;1654.25;2167.00
33;1347.00;1642.86;2301.00
34;1347.00;1657.10;2292.00
35;1347.00;1691.51;2311.00
36;1347.00;1679.93;2243.00
37;1347.00;1655.88;2328.00
38;1347.00;1675.07;2191.00
39;1347.00;1684.33;2162.00
40;1347.00;1670.58;2311.00
41;1338.00;1667.02;2169.00
42;1338.00;1653.43;2234.00
43;1338.00;1654.60;2177.00
44;1337.00;1649.99;2268.00
45;1337.00;1635.22;2384.00
46;1337.00;1609.32;2136.00
47;1337.00;1598.57;2290.00
48;1337.00;1576.63;2193.00
49;1330.00;1583.71;2353.00
50;1330.00;1575.13;2261.00
51;1330.00;1563.53;2136.00
52;1328.00;1569.81;2185.00
53;1328.00;1700.85;2332.00
54;1328.00;1725.31;2350.00
55;1325.00;1708.16;2290.00
56;1323.00;1750.35;2328.00
57;1323.00;1710.50;2340.00
58;1323.00;1747.10;2385.00
59;1320.00;1738.31;2382.00
60;1320.00;1753.56;2360.00
61;1320.00;1740.97;2416.00
62;1320.00;1760.10;2457.00
63;1320.00;1749.23;2354.00
64;1320.00;1745.82;2349.00
65;1320.00;1721.01;2300.00
66;1319.00;1675.70;2294.00
67;1319.00;1662.04;2281.00
68;1294.00;1598.93;2274.00
