A-n60-k9
Algorithm,Best,Worst,Average,Std
RANDOM,2999.00,4368.00,3697.50,180.33
GREEDY,1693.00,2012.00,1846.12,68.48
SA,1389.00,1488.00,1422.70,31.32
GA,1367.00,1433.00,1396.10,21.16
