A-n37-k6
Algorithm,Best,Worst,Average,Std
RANDOM,1687.00,2700.00,2215.76,129.88
GREEDY,1224.00,1466.00,1334.72,64.85
SA,952.00,990.00,969.80,14.64
GA,973.00,1056.00,998.50,25.36
