generation;best;average;worst
0;1475.00;2930.76;3370.00
1;1475.00;2717.77;3361.00
2;1475.00;2382.70;3043.00
3;1463.00;1826.98;2497.00
4;1428.00;1713.45;2177.00
5;1428.00;1698.87;2303.00
6;1428.00;1714.95;2210.00
7;1428.00;1725.45;2307.00
8;1425.00;1725.73;2227.00
9;1410.00;1737.21;2175.00
10;1410.00;1684.36;2161.00
11;1410.00;1668.00;2169.00
12;1405.00;1659.11;2131.00
13;1387.00;1670.88;2164.00
14;1381.00;1671.05;2144.00
15;1371.00;1662.17;2118.00
16;1371.00;1652.80;2072.00
17;1326.00;1608.47;2043.00
18;1326.00;1572.40;2046.00
19;1326.00;1564.15;1963.00
20;1326.00;1561.09;2139.00
21;1323.00;1552.99;2023.00
22;1323.00;1560.01;2039.00
23;1317.00;1554.09;2100.00
24;1317.00;1554.39;1962.00
25;1317.00;1558.53;2033.00
26;1317.00;1555.60;2063.00
27;1317.00;1560.93;2025.00
28;1312.00;1556.54;2015.00
29;1312.00;1551.90;1990.00
30;1312.00;1574.63;2115.00
31;1310.00;1560.96;2078.00
32;1310.00;1569.84;2109.00
33;1310.00;1569.42;2101.00
34;1310.00;1566.01;2051.00
35;1310.00;1574.60;2081.00
36;1307.00;1555.05;2204.00
37;1307.00;1583.41;2148.00
38;1296.00;1571.08;2069.00
39;1296.00;1586.33;2170.00
40;1296.00;1577.92;2033.00
41;1296.00;1590.05;2158.00
42;1296.00;1581.00;2208.00
43;1296.00;1561.20;2230.00
44;1281.00;1563.73;2042.00
45;1281.00;1562.48;2007.00
46;1269.00;1563.34;2104.00
47;1269.00;1556.28;2100.00
48;1269.00;1542.01;2035.00
49;1269.00;1529.58;2018.00
50;1269.00;1538.81;2139.00
51;1269.00;1537.72;2085.00
52;1269.00;1522.32;2078.00
53;1269.00;1521.25;2106.00
54;1269.00;1526.64;2089.00
55;1269.00;1545.95;2068.00
56;1269.00;1529.53;2108.00
57;1269.00;1528.65;1965.00
58;1264.00;1533.04;1946.00
59;1264.00;1553.40;2090.00
60;1255.00;1536.55;2157.00
61;1255.00;1544.67;2046.00
62;1253.00;1548.14;2164.00
63;1253.00;1526.96;2041.00
64;1253.00;1533.20;2116.00
65;1220.00;1530.13;2173.00
66;1213.00;1520.39;2035.00
67;1213.00;1493.12;2063.00
68;1213.00;1503.08;2088.00
69;1212.00;1448.40;2123.00
70;1212.00;1488.97;2012.00
71;1212.00;1535.99;2050.00
72;1212.00;1540.99;2130.00
73;1212.00;1521.68;2051.00
74;1212.00;1529.47;2010.00
75;1204.00;1534.61;2026.00
76;1204.00;1530.04;2186.00
77;1204.00;1556.41;2149.00
78;1202.00;1563.08;2071.00
79;1202.00;1520.77;2074.00
80;1202.00;1526.35;2089.00
81;1197.00;1505.38;2016.00
82;1195.00;1508.89;2130.00
83;1195.00;1505.27;2157.00
84;1195.00;1511.98;2118.00
85;1195.00;1529.30;2089.00
86;1189.00;1495.96;2013.00
87;1189.00;1504.68;2057.00
88;1189.00;1497.15;2175.00
89;1189.00;1502.28;2041.00
90;1189.00;1496.15;2185.00
91;1189.00;1481.18;1958.00
92;1189.00;1486.93;1967.00
93;1189.00;1479.38;2132.00
94;1189.00;1496.94;2065.00
95;1189.00;1487.77;2020.00
96;1189.00;1486.18;2015.00
97;1189.00;1496.13;2092.00
98;1189.00;1483.35;1971.00
99;1189.00;1502.54;2200.00
100;1189.00;1507.39;2008.00
101;1189.00;1506.78;2039.00
102;1187.00;1498.55;2049.00
103;1183.00;1503.99;2049.00
104;1183.00;1498.78;2063.00
105;1176.00;1503.07;2013.00
106;1176.00;1470.97;2026.00
107;1176.00;1499.06;2037.00
108;1175.00;1500.91;2100.00
109;1175.00;1507.86;2037.00
110;1175.00;1501.15;2117.00
111;1168.00;1525.85;1953.00
112;1168.00;1529.77;2103.00
113;1168.00;1518.88;1963.00
114;1168.00;1497.85;2068.00
115;1166.00;1523.10;2146.00
116;1166.00;1521.67;2043.00
117;1166.00;1510.63;2032.00
118;1166.00;1511.67;2070.00
119;1166.00;1522.73;2115.00
120;1165.00;1519.00;2085.00
121;1165.00;1514.70;2095.00
122;1149.00;1510.37;2165.00
123;1149.00;1502.21;2069.00
124;1149.00;1534.41;2018.00
125;1149.00;1519.40;2009.00
126;1149.00;1522.08;2143.00
127;1149.00;1525.29;2122.00
128;1149.00;1505.36;2046.00
129;1149.00;1529.69;2196.00
130;1149.00;1535.08;2070.00
