generation;best;average;worst
0;1145.00;2124.04;2593.00
1;1145.00;1925.09;2300.00
2;1145.00;1689.85;2191.00
3;1145.00;1383.79;1830.00
4;1078.00;1313.97;1787.00
5;1064.00;1298.19;1737.00
6;1064.00;1296.47;1761.00
7;1062.00;1309.49;1762.00
8;1062.00;1304.69;1713.00
9;1062.00;1294.18;1740.00
10;1022.00;1271.77;1711.00
11;1022.00;1262.51;1613.00
12;1009.00;1250.10;1625.00
13;1009.00;1256.82;1699.00
14;1009.00;1248.50;1629.00
15;1007.00;1250.67;1618.00
16;993.00;1245.79;1649.00
17;993.00;1248.27;1658.00
18;990.00;1240.77;1630.00
19;990.00;1246.16;1797.00
20;990.00;1243.85;1704.00
21;990.00;1237.86;1658.00
22;990.00;1247.61;1632.00
23;990.00;1245.02;1764.00
24;985.00;1256.85;1704.00
25;984.00;1228.70;1664.00
26;984.00;1230.58;1708.00
27;984.00;1246.56;1707.00
28;984.00;1234.92;1709.00
29;984.00;1251.35;1728.00
30;984.00;1236.51;1677.00
31;984.00;1220.18;1709.00
32;984.00;1241.41;1652.00
33;984.00;1235.16;1629.00
34;984.00;1230.99;1649.00
35;984.00;1239.44;1706.00
36;984.00;1217.25;1607.00
37;976.00;1231.55;1770.00
38;976.00;1235.62;1725.00
39;976.00;1245.92;1654.00
40;971.00;1237.19;1778.00
41;951.00;1215.94;1611.00
42;951.00;1236.48;1745.00
43;951.00;1221.32;1635.00
44;944.00;1213.80;1728.00
45;942.00;1206.06;1696.00
46;942.00;1194.62;1711.00
47;936.00;1203.61;1675.00
48;936.00;1203.27;1623.00
49;936.00;1204.62;1633.00
50;936.00;1183.48;1589.00
51;936.00;1197.53;1695.00
52;930.00;1204.75;1710.00
53;930.00;1180.61;1592.00
54;930.00;1182.17;1581.00
55;930.00;1196.63;1644.00
56;930.00;1189.22;1627.00
57;930.00;1191.54;1671.00
58;930.00;1186.60;1643.00
59;930.00;1182.30;1616.00
60;930.00;1182.64;1642.00
61;930.00;1187.66;1646.00
62;930.00;1193.94;1596.00
63;930.00;1191.50;1670.00
64;930.00;1184.62;1641.00
65;930.00;1189.15;1639.00
66;930.00;1185.59;1669.00
67;930.00;1175.04;1646.00
68;930.00;1188.37;1648.00
69;930.00;1186.66;1696.00
70;930.00;1173.50;1691.00
71;930.00;1189.52;1605.00
72;930.00;1173.43;1647.00
73;930.00;1175.38;1652.00
74;930.00;1174.18;1705.00
75;930.00;1189.80;1653.00
76;930.00;1182.43;1660.00
77;930.00;1184.50;1712.00
78;930.00;1196.25;1645.00
79;930.00;1181.01;1710.00
80;930.00;1201.98;1780.00
81;930.00;1193.43;1705.00
82;930.00;1181.09;1658.00
83;930.00;1165.39;1666.00
84;930.00;1167.29;1619.00
85;930.00;1185.48;1684.00
86;930.00;1190.11;1675.00
87;930.00;1176.61;1587.00
88;930.00;1186.01;1673.00
89;930.00;1184.77;1734.00
90;930.00;1174.55;1639.00
91;930.00;1190.51;1653.00
92;930.00;1178.97;1592.00
93;930.00;1180.63;1703.00
94;930.00;1188.08;1692.00
95;930.00;1194.06;1758.00
96;930.00;1190.63;1627.00
97;930.00;1195.85;1683.00
98;930.00;1192.71;1789.00
99;930.00;1198.44;1727.00
100;930.00;1192.43;1710.00
101;930.00;1182.50;1725.00
102;928.00;1189.21;1681.00
103;917.00;1193.07;1593.00
104;916.00;1179.58;1640.00
105;916.00;1193.26;1620.00
106;916.00;1176.17;1671.00
107;916.00;1182.28;1675.00
108;916.00;1177.17;1657.00
109;912.00;1185.01;1663.00
110;912.00;1184.10;1699.00
111;906.00;1214.19;1721.00
112;906.00;1203.09;1659.00
113;906.00;1199.60;1663.00
114;904.00;1193.99;1613.00
115;904.00;1192.34;1648.00
116;902.00;1173.25;1695.00
117;902.00;1179.62;1676.00
118;902.00;1206.87;1604.00
119;902.00;1199.44;1654.00
120;902.00;1201.81;1620.00
121;902.00;1205.44;1622.00
122;902.00;1207.34;1652.00
123;902.00;1205.26;1655.00
124;902.00;1176.18;1644.00
125;902.00;1192.15;1687.00
126;902.00;1203.05;1655.00
127;902.00;1199.94;1735.00
128;902.00;1215.37;1723.00
129;902.00;1207.73;1758.00
130;902.00;1219.82;1710.00
131;897.00;1203.69;1800.00
132;897.00;1222.58;1681.00
133;897.00;1196.53;1687.00
134;897.00;1188.37;1643.00
135;897.00;1176.44;1636.00
136;897.00;1190.79;1678.00
137;897.00;1188.77;1695.00
138;897.00;1184.30;1604.00
139;897.00;1178.85;1696.00
140;897.00;1185.99;1668.00
141;897.00;1177.44;1672.00
142;897.00;1179.50;1646.00
143;897.00;1188.86;1626.00
144;897.00;1193.39;1722.00
145;897.00;1179.81;1693.00
146;897.00;1186.49;1693.00
147;897.00;1169.94;1723.00
148;897.00;1189.87;1679.00
149;897.00;1184.55;1624.00
150;897.00;1186.33;1560.00
151;897.00;1186.35;1550.00
152;897.00;1173.41;1632.00
153;897.00;1178.70;1713.00
154;897.00;1178.18;1630.00
155;897.00;1194.05;1786.00
156;897.00;1181.45;1640.00
157;897.00;1183.13;1648.00
158;897.00;1194.80;1664.00
159;897.00;1207.18;1643.00
160;897.00;1167.76;1786.00
161;897.00;1172.89;1669.00
162;897.00;1172.28;1691.00
163;897.00;1192.18;1662.00
164;897.00;1186.70;1634.00
165;897.00;1183.29;1714.00
166;897.00;1180.35;1623.00
167;897.00;1171.51;1616.00
168;897.00;1195.38;1666.00
169;897.00;1184.82;1666.00
170;897.00;1181.16;1666.00
171;897.00;1181.66;1585.00
172;897.00;1183.96;1637.00
173;897.00;1173.79;1704.00
174;897.00;1175.99;1620.00
175;897.00;1176.05;1645.00
176;897.00;1187.52;1663.00
177;897.00;1193.61;1646.00
178;897.00;1179.56;1653.00
179;897.00;1184.58;1635.00
180;897.00;1176.95;1616.00
181;897.00;1186.00;1709.00
182;897.00;1178.09;1647.00
183;897.00;1173.55;1687.00
184;897.00;1186.66;1694.00
185;897.00;1173.31;1582.00
186;897.00;1183.30;1706.00
187;897.00;1177.74;1751.00
188;897.00;1172.28;1703.00
189;897.00;1174.52;1632.00
190;897.00;1190.39;1656.00
191;897.00;1182.94;1593.00
192;897.00;1189.18;1789.00
193;897.00;1191.54;1655.00
194;897.00;1191.22;1719.00
195;897.00;1189.13;1664.00
196;897.00;1175.66;1672.00
197;897.00;1193.49;1603.00
198;897.00;1185.24;1602.00
199;897.00;1196.56;1668.00
200;897.00;1169.30;1735.00
201;897.00;1189.72;1625.00
202;897.00;1193.03;1652.00
203;897.00;1167.86;1747.00
204;897.00;1177.98;1641.00
205;897.00;1178.79;1671.00
206;897.00;1194.52;1789.00
207;897.00;1179.86;1597.00
208;897.00;1183.14;1858.00
209;897.00;1195.05;1613.00
210;897.00;1191.62;1725.00
211;897.00;1178.39;1644.00
212;897.00;1177.23;1648.00
213;897.00;1197.15;1651.00
214;897.00;1184.75;1625.00
215;897.00;1180.66;1714.00
216;897.00;1191.49;1684.00
217;897.00;1177.41;1676.00
218;897.00;1191.22;1636.00
219;897.00;1191.81;1769.00
220;897.00;1185.02;1754.00
221;897.00;1176.95;1668.00
222;897.00;1188.42;1625.00
223;897.00;1179.32;1639.00
224;897.00;1175.98;1707.00
225;897.00;1185.14;1802.00
226;897.00;1185.66;1697.00
227;897.00;1181.27;1768.00
228;897.00;1170.59;1539.00
229;897.00;1168.01;1690.00
230;897.00;1181.43;1637.00
231;897.00;1183.13;1710.00
232;897.00;1189.40;1596.00
233;897.00;1187.56;1762.00
234;897.00;1183.36;1601.00
235;897.00;1180.54;1628.00
236;897.00;1178.53;1655.00
237;897.00;1187.86;1653.00
238;897.00;1179.97;1548.00
239;897.00;1186.30;1543.00
240;897.00;1190.44;1657.00
241;897.00;1189.73;1617.00
242;897.00;1183.16;1653.00
243;897.00;1189.44;1793.00
244;897.00;1193.04;1706.00
245;897.00;1195.93;1586.00
246;897.00;1177.57;1752.00
247;897.00;1174.80;1762.00
248;897.00;1173.88;1758.00
249;897.00;1182.05;1672.00
250;897.00;1175.76;1690.00
251;897.00;1189.17;1745.00
252;897.00;1184.52;1620.00
253;897.00;1184.34;1676.00
254;897.00;1179.64;1653.00
255;897.00;1185.70;1635.00
256;897.00;1188.47;1627.00
257;897.00;1186.05;1645.00
258;897.00;1184.71;1747.00
259;897.00;1178.02;1709.00
260;897.00;1181.98;1728.00
261;897.00;1181.96;1668.00
262;897.00;1181.86;1624.00
263;897.00;1176.23;1630.00
264;897.00;1181.70;1583.00
265;897.00;1184.63;1616.00
266;897.00;1179.06;1653.00
267;897.00;1177.15;1726.00
268;897.00;1182.26;1655.00
269;897.00;1175.94;1641.00
270;897.00;1173.26;1760.00
271;897.00;1184.08;1630.00
272;897.00;1178.82;1686.00
273;897.00;1172.25;1582.00
274;897.00;1173.28;1615.00
275;897.00;1193.62;1660.00
276;897.00;1175.26;1755.00
277;897.00;1182.22;1725.00
278;897.00;1182.57;1650.00
279;897.00;1176.12;1598.00
280;897.00;1197.03;1644.00
281;897.00;1183.89;1620.00
282;897.00;1192.17;1663.00
283;897.00;1174.95;1712.00
284;897.00;1174.53;1664.00
285;897.00;1177.40;1576.00
286;897.00;1187.78;1693.00
287;897.00;1177.59;1747.00
288;897.00;1167.46;1624.00
289;897.00;1189.84;1635.00
290;897.00;1172.60;1740.00
291;897.00;1187.12;1665.00
292;897.00;1182.02;1678.00
293;897.00;1202.06;1664.00
294;897.00;1185.00;1709.00
295;897.00;1175.69;1870.00
296;897.00;1178.19;1767.00
297;897.00;1178.07;1665.00
298;897.00;1180.37;1659.00
299;897.00;1189.07;1726.00
300;897.00;1201.59;1641.00
301;897.00;1178.10;1749.00
302;897.00;1187.04;1573.00
303;897.00;1176.01;1585.00
304;897.00;1165.87;1736.00
305;897.00;1173.54;1692.00
306;897.00;1172.92;1684.00
307;897.00;1195.28;1732.00
308;897.00;1195.09;1608.00
309;897.00;1197.79;1687.00
310;897.00;1183.47;1645.00
311;897.00;1193.34;1624.00
312;897.00;1175.85;1777.00
313;897.00;1186.55;1666.00
314;897.00;1193.61;1621.00
315;897.00;1195.55;1671.00
316;897.00;1192.73;1616.00
317;897.00;1178.23;1702.00
318;897.00;1178.91;1692.00
319;897.00;1174.98;1666.00
320;897.00;1181.85;1640.00
321;897.00;1187.35;1695.00
322;897.00;1185.20;1557.00
323;897.00;1189.38;1727.00
324;897.00;1177.86;1678.00
325;897.00;1184.30;1709.00
326;897.00;1197.01;1624.00
327;897.00;1190.39;1740.00
328;897.00;1190.70;1771.00
329;897.00;1175.81;1619.00
330;897.00;1182.74;1680.00
331;897.00;1177.99;1681.00
332;897.00;1179.43;1758.00
333;897.00;1186.25;1623.00
334;897.00;1189.87;1658.00
335;897.00;1195.57;1628.00
336;897.00;1196.38;1685.00
337;897.00;1165.70;1613.00
338;897.00;1176.77;1700.00
339;897.00;1175.46;1710.00
340;897.00;1177.45;1641.00
341;897.00;1192.01;1685.00
342;897.00;1189.52;1725.00
343;897.00;1173.20;1669.00
344;897.00;1182.85;1665.00
345;897.00;1171.02;1918.00
346;897.00;1200.13;1779.00
347;897.00;1170.96;1608.00
348;897.00;1170.24;1652.00
349;897.00;1189.88;1572.00
350;897.00;1174.11;1699.00
351;897.00;1157.96;1668.00
352;897.00;1180.00;1656.00
353;897.00;1163.66;1601.00
354;897.00;1179.23;1594.00
355;897.00;1190.79;1633.00
356;897.00;1163.98;1642.00
357;888.00;1190.08;1724.00
358;888.00;1192.24;1744.00
359;888.00;1176.45;1646.00
360;888.00;1177.70;1621.00
361;888.00;1181.22;1705.00
362;888.00;1168.91;1617.00
363;888.00;1173.69;1541.00
364;888.00;1165.52;1642.00
365;888.00;1167.41;1702.00
366;888.00;1161.90;1657.00
367;888.00;1181.88;1671.00
368;888.00;1178.80;1678.00
369;888.00;1159.76;1663.00
370;888.00;1162.61;1655.00
371;888.00;1172.02;1686.00
372;888.00;1178.68;1655.00
373;888.00;1176.48;1677.00
374;888.00;1174.28;1701.00
375;888.00;1172.95;1585.00
376;888.00;1170.23;1643.00
377;888.00;1175.03;1649.00
378;888.00;1171.20;1568.00
379;888.00;1165.91;1594.00
380;888.00;1159.79;1619.00
381;888.00;1159.49;1623.00
382;888.00;1158.71;1577.00
383;888.00;1158.85;1774.00
384;888.00;1176.10;1692.00
385;888.00;1175.33;1736.00
386;888.00;1164.96;1675.00
387;888.00;1182.41;1659.00
388;888.00;1176.24;1603.00
389;888.00;1169.74;1634.00
390;888.00;1163.42;1729.00
391;888.00;1165.31;1599.00
392;888.00;1169.31;1768.00
393;888.00;1170.46;1654.00
394;888.00;1176.03;1600.00
395;888.00;1191.04;1735.00
396;888.00;1168.53;1680.00
397;888.00;1173.85;1812.00
398;888.00;1164.59;1649.00
399;888.00;1162.45;1632.00
400;888.00;1164.72;1624.00
401;888.00;1174.37;1653.00
402;888.00;1176.42;1629.00
403;888.00;1165.41;1643.00
404;888.00;1162.11;1589.00
405;888.00;1183.95;1650.00
406;888.00;1175.03;1629.00
407;888.00;1167.06;1751.00
408;888.00;1178.90;1578.00
409;888.00;1158.53;1725.00
410;888.00;1184.35;1633.00
411;888.00;1175.00;1644.00
412;888.00;1181.08;1727.00
413;888.00;1179.49;1713.00
414;888.00;1168.09;1687.00
415;888.00;1161.69;1794.00
416;888.00;1154.49;1703.00
417;888.00;1171.54;1541.00
418;888.00;1151.62;1570.00
419;888.00;1177.50;1642.00
420;888.00;1183.92;1636.00
421;888.00;1170.42;1671.00
422;888.00;1170.31;1751.00
423;888.00;1176.08;1705.00
424;888.00;1184.63;1747.00
425;888.00;1178.37;1655.00
426;888.00;1174.18;1592.00
427;888.00;1163.37;1616.00
428;888.00;1188.23;1657.00
429;888.00;1181.04;1711.00
430;888.00;1170.10;1725.00
431;888.00;1165.22;1630.00
432;888.00;1166.28;1695.00
433;888.00;1152.92;1697.00
434;888.00;1170.79;1659.00
435;888.00;1162.45;1725.00
436;888.00;1176.13;1678.00
437;888.00;1171.48;1691.00
438;888.00;1178.19;1623.00
439;888.00;1167.76;1626.00
440;888.00;1171.83;1661.00
441;888.00;1170.74;1738.00
442;888.00;1155.92;1681.00
443;888.00;1180.17;1654.00
444;888.00;1169.14;1689.00
445;888.00;1167.41;1629.00
446;888.00;1159.48;1664.00
447;888.00;1180.09;1603.00
448;888.00;1164.54;1723.00
449;888.00;1170.90;1614.00
450;888.00;1189.38;1659.00
451;888.00;1172.53;1654.00
452;888.00;1176.06;1603.00
453;888.00;1159.83;1755.00
454;888.00;1184.39;1683.00
455;888.00;1168.58;1582.00
456;888.00;1163.52;1676.00
457;888.00;1165.90;1685.00
458;888.00;1162.30;1753.00
459;888.00;1169.16;1596.00
460;888.00;1169.21;1722.00
461;888.00;1175.21;1617.00
462;888.00;1184.77;1634.00
463;884.00;1182.19;1649.00
464;884.00;1172.08;1665.00
465;884.00;1157.95;1628.00
466;884.00;1179.30;1672.00
467;884.00;1187.99;1760.00
468;884.00;1170.53;1680.00
469;884.00;1174.33;1677.00
470;884.00;1171.83;1634.00
471;881.00;1169.07;1729.00
472;881.00;1172.72;1872.00
473;881.00;1187.04;1797.00
474;881.00;1187.17;1634.00
475;881.00;1169.71;1788.00
476;881.00;1177.88;1567.00
477;881.00;1184.33;1742.00
478;881.00;1184.01;1701.00
479;881.00;1186.40;1593.00
480;881.00;1179.07;1753.00
481;881.00;1178.38;1684.00
482;881.00;1167.83;1605.00
483;881.00;1190.78;1708.00
484;881.00;1201.85;1696.00
485;881.00;1187.57;1616.00
486;881.00;1190.62;1637.00
487;881.00;1173.83;1618.00
488;881.00;1197.06;1733.00
489;881.00;1185.54;1698.00
490;881.00;1189.88;1756.00
491;881.00;1199.27;1702.00
492;881.00;1197.48;1674.00
493;881.00;1193.39;1657.00
494;881.00;1186.20;1766.00
495;881.00;1180.67;1686.00
496;859.00;1195.80;1672.00
497;859.00;1184.48;1693.00
498;859.00;1181.93;1614.00
499;859.00;1155.75;1630.00
500;859.00;1165.81;1630.00
501;859.00;1186.70;1643.00
502;859.00;1171.96;1645.00
503;859.00;1167.55;1612.00
504;859.00;1152.95;1592.00
505;859.00;1151.54;1644.00
506;859.00;1170.98;1658.00
507;859.00;1151.01;1739.00
508;859.00;1160.51;1705.00
509;859.00;1154.37;1581.00
510;853.00;1145.94;1631.00
511;853.00;1150.69;1613.00
512;853.00;1152.61;1663.00
513;853.00;1173.02;1749.00
514;853.00;1148.68;1635.00
515;853.00;1160.62;1645.00
516;853.00;1137.93;1615.00
517;853.00;1150.75;1610.00
518;853.00;1161.04;1683.00
519;853.00;1145.96;1682.00
520;853.00;1159.57;1697.00
521;853.00;1147.24;1575.00
522;853.00;1163.85;1642.00
523;853.00;1156.47;1681.00
524;853.00;1177.49;1764.00
525;853.00;1171.35;1807.00
526;853.00;1158.41;1601.00
527;853.00;1170.17;1648.00
528;853.00;1167.24;1686.00
529;853.00;1156.85;1560.00
530;853.00;1152.65;1673.00
531;853.00;1146.11;1617.00
532;853.00;1156.82;1699.00
533;853.00;1162.79;1635.00
534;853.00;1148.38;1688.00
535;853.00;1160.87;1699.00
536;853.00;1156.49;1758.00
537;853.00;1156.06;1604.00
538;853.00;1168.95;1592.00
539;853.00;1159.93;1771.00
540;853.00;1159.22;1789.00
541;853.00;1157.40;1722.00
542;853.00;1158.69;1682.00
543;853.00;1136.81;1727.00
544;853.00;1154.04;1696.00
545;853.00;1130.87;1669.00
546;853.00;1137.53;1664.00
547;853.00;1137.72;1543.00
548;853.00;1139.20;1597.00
549;853.00;1146.45;1641.00
550;853.00;1169.29;1685.00
551;853.00;1158.90;1698.00
552;853.00;1149.90;1674.00
553;853.00;1170.24;1749.00
554;853.00;1151.57;1611.00
555;853.00;1158.19;1700.00
556;853.00;1148.19;1666.00
557;853.00;1167.30;1557.00
558;853.00;1160.88;1663.00
559;853.00;1150.78;1587.00
560;853.00;1157.24;1695.00
561;853.00;1140.11;1606.00
562;853.00;1146.84;1658.00
563;853.00;1143.34;1671.00
564;853.00;1153.80;1580.00
565;853.00;1146.39;1672.00
566;853.00;1178.63;1726.00
567;853.00;1172.53;1648.00
568;853.00;1154.62;1621.00
569;853.00;1153.50;1772.00
570;853.00;1164.09;1713.00
571;853.00;1152.86;1672.00
572;853.00;1145.69;1764.00
573;853.00;1153.59;1620.00
574;853.00;1153.39;1659.00
575;853.00;1155.10;1671.00
576;853.00;1155.37;1643.00
577;853.00;1138.95;1596.00
578;853.00;1171.03;1661.00
579;853.00;1162.03;1615.00
580;853.00;1156.47;1682.00
581;853.00;1154.34;1636.00
582;853.00;1144.30;1708.00
583;853.00;1153.66;1673.00
584;853.00;1165.63;1681.00
585;853.00;1148.69;1707.00
586;853.00;1161.58;1604.00
587;853.00;1156.05;1727.00
588;853.00;1154.95;1638.00
589;853.00;1149.17;1651.00
590;853.00;1153.39;1740.00
591;853.00;1149.54;1618.00
592;853.00;1161.19;1702.00
593;853.00;1149.92;1615.00
594;853.00;1130.24;1675.00
595;853.00;1158.48;1598.00
596;853.00;1147.05;1769.00
597;853.00;1138.68;1707.00
598;853.00;1153.72;1650.00
599;853.00;1150.05;1727.00
600;853.00;1141.93;1639.00
601;853.00;1140.12;1600.00
602;853.00;1162.20;1649.00
603;853.00;1158.67;1700.00
604;853.00;1156.70;1724.00
605;853.00;1148.15;1622.00
606;853.00;1149.32;1706.00
607;848.00;1137.57;1683.00
608;848.00;1149.69;1597.00
609;848.00;1158.42;1719.00
610;848.00;1152.64;1632.00
611;848.00;1157.62;1649.00
612;848.00;1139.47;1601.00
613;848.00;1162.78;1630.00
614;848.00;1155.52;1589.00
615;848.00;1159.90;1607.00
616;848.00;1151.91;1612.00
617;848.00;1164.26;1637.00
618;848.00;1189.21;1599.00
619;848.00;1171.54;1621.00
620;848.00;1150.69;1678.00
621;848.00;1160.51;1661.00
622;848.00;1166.28;1742.00
623;848.00;1166.46;1585.00
624;848.00;1136.86;1633.00
625;848.00;1164.83;1695.00
626;848.00;1157.35;1648.00
627;848.00;1157.52;1594.00
628;848.00;1164.24;1750.00
629;848.00;1162.21;1637.00
630;848.00;1169.29;1625.00
631;848.00;1145.90;1608.00
632;848.00;1163.03;1699.00
633;848.00;1168.39;1656.00
634;848.00;1165.87;1602.00
635;848.00;1160.77;1619.00
636;848.00;1151.50;1608.00
637;848.00;1161.91;1652.00
638;848.00;1167.75;1648.00
639;848.00;1169.57;1777.00
640;848.00;1165.35;1718.00
641;848.00;1155.94;1621.00
642;848.00;1174.68;1658.00
643;848.00;1147.64;1686.00
644;848.00;1169.26;1634.00
645;848.00;1159.84;1634.00
646;848.00;1164.21;1635.00
647;848.00;1178.81;1671.00
648;848.00;1164.88;1659.00
649;848.00;1173.06;1568.00
650;848.00;1169.76;1585.00
651;848.00;1147.44;1689.00
652;848.00;1153.43;1597.00
653;848.00;1165.42;1610.00
654;848.00;1171.62;1745.00
655;848.00;1169.28;1671.00
656;848.00;1149.63;1661.00
657;848.00;1165.40;1690.00
658;848.00;1149.95;1603.00
659;848.00;1172.23;1707.00
660;848.00;1162.63;1612.00
661;848.00;1150.84;1651.00
662;848.00;1149.59;1734.00
663;848.00;1163.64;1646.00
664;848.00;1166.97;1700.00
665;848.00;1154.73;1583.00
666;848.00;1162.43;1607.00
667;848.00;1158.58;1626.00
668;848.00;1148.43;1623.00
669;848.00;1155.46;1616.00
670;848.00;1173.77;1645.00
671;848.00;1158.53;1631.00
672;848.00;1170.47;1683.00
673;848.00;1156.32;1671.00
674;848.00;1146.21;1717.00
675;848.00;1167.47;1697.00
676;848.00;1164.51;1638.00
677;848.00;1155.57;1611.00
678;848.00;1170.12;1780.00
679;848.00;1152.86;1621.00
680;848.00;1152.60;1648.00
681;848.00;1173.92;1653.00
682;848.00;1158.72;1567.00
683;848.00;1166.02;1694.00
684;848.00;1164.77;1670.00
685;848.00;1138.19;1615.00
686;848.00;1163.02;1668.00
687;848.00;1157.63;1560.00
688;848.00;1158.69;1760.00
689;848.00;1162.03;1612.00
690;848.00;1165.81;1656.00
691;848.00;1166.14;1636.00
692;848.00;1145.62;1669.00
693;848.00;1183.65;1663.00
694;848.00;1156.55;1633.00
695;848.00;1167.39;1695.00
696;848.00;1162.04;1724.00
697;848.00;1162.04;1660.00
698;848.00;1168.30;1662.00
699;848.00;1151.85;1644.00
700;848.00;1178.44;1652.00
701;848.00;1144.05;1832.00
702;848.00;1171.19;1660.00
703;848.00;1162.68;1680.00
704;848.00;1142.03;1708.00
705;848.00;1150.02;1699.00
706;848.00;1153.11;1622.00
707;848.00;1153.07;1575.00
708;848.00;1167.64;1630.00
709;848.00;1160.87;1626.00
710;848.00;1169.67;1668.00
711;848.00;1166.48;1602.00
712;848.00;1153.97;1642.00
713;848.00;1163.02;1672.00
714;848.00;1159.69;1732.00
715;848.00;1162.78;1664.00
716;848.00;1168.66;1618.00
717;848.00;1162.37;1649.00
718;848.00;1146.10;1629.00
719;848.00;1164.05;1689.00
720;848.00;1170.86;1682.00
721;848.00;1155.34;1596.00
722;848.00;1155.76;1660.00
723;848.00;1167.96;1611.00
724;848.00;1165.61;1711.00
725;848.00;1178.85;1635.00
726;848.00;1152.72;1597.00
727;848.00;1163.60;1666.00
728;848.00;1174.74;1753.00
729;848.00;1174.49;1649.00
730;848.00;1161.45;1630.00
731;848.00;1153.92;1598.00
732;848.00;1172.69;1698.00
733;848.00;1161.45;1647.00
734;848.00;1164.60;1630.00
735;848.00;1168.44;1776.00
736;848.00;1148.68;1733.00
737;848.00;1170.71;1653.00
738;848.00;1165.73;1795.00
739;848.00;1161.54;1673.00
740;848.00;1160.30;1615.00
741;848.00;1169.08;1645.00
742;848.00;1164.26;1666.00
743;848.00;1165.36;1560.00
744;848.00;1152.58;1697.00
745;848.00;1158.71;1653.00
746;848.00;1149.43;1623.00
747;848.00;1147.03;1633.00
748;848.00;1168.25;1646.00
749;848.00;1165.33;1678.00
750;848.00;1169.08;1635.00
751;848.00;1145.43;1540.00
752;848.00;1159.48;1687.00
753;848.00;1166.86;1752.00
754;848.00;1171.26;1624.00
755;848.00;1161.95;1685.00
756;848.00;1150.66;1649.00
757;848.00;1165.34;1671.00
758;848.00;1166.26;1601.00
759;848.00;1144.06;1670.00
760;848.00;1158.73;1667.00
761;848.00;1166.57;1698.00
762;848.00;1149.84;1666.00
763;848.00;1159.31;1602.00
764;848.00;1137.70;1588.00
765;848.00;1169.83;1651.00
766;848.00;1151.10;1626.00
767;848.00;1156.17;1703.00
768;848.00;1173.97;1637.00
769;848.00;1156.46;1654.00
770;848.00;1149.87;1729.00
771;848.00;1146.66;1600.00
772;848.00;1166.47;1688.00
773;848.00;1153.10;1654.00
774;848.00;1157.88;1677.00
775;848.00;1162.79;1690.00
776;848.00;1145.99;1517.00
777;848.00;1156.80;1652.00
778;848.00;1160.68;1672.00
779;848.00;1141.36;1608.00
780;848.00;1157.68;1641.00
781;848.00;1163.94;1620.00
782;848.00;1154.43;1626.00
783;848.00;1163.16;1600.00
784;848.00;1160.11;1629.00
785;848.00;1161.03;1620.00
