generation;best;average;worst
0;1070.00;2174.69;2618.00
1;1070.00;2007.32;2420.00
2;1070.00;1735.66;2362.00
3;1067.00;1400.32;1909.00
4;1057.00;1319.72;1752.00
5;1057.00;1285.45;1761.00
6;1052.00;1279.72;1909.00
7;1037.00;1263.99;1704.00
8;1037.00;1253.06;1761.00
9;1019.00;1267.48;1716.00
10;1019.00;1261.63;1690.00
11;1019.00;1262.83;1863.00
12;1019.00;1261.06;1746.00
13;997.00;1248.31;1760.00
14;997.00;1239.89;1697.00
15;997.00;1247.86;1755.00
16;997.00;1272.43;1758.00
17;978.00;1277.09;1833.00
18;945.00;1284.71;1728.00
19;937.00;1242.76;1724.00
20;937.00;1244.48;1758.00
21;937.00;1232.55;1819.00
22;937.00;1232.11;1733.00
23;931.00;1237.73;1802.00
24;931.00;1238.68;1779.00
25;931.00;1229.99;1717.00
26;927.00;1233.64;1743.00
27;927.00;1223.52;1798.00
28;923.00;1234.48;1774.00
29;919.00;1226.96;1719.00
30;919.00;1230.97;1725.00
31;919.00;1249.00;1756.00
32;919.00;1224.28;1740.00
33;919.00;1244.72;1773.00
34;919.00;1268.00;1694.00
35;919.00;1255.88;1857.00
36;918.00;1253.00;1821.00
37;918.00;1252.34;1824.00
38;918.00;1236.91;1710.00
39;918.00;1249.17;1792.00
40;918.00;1226.13;1692.00
41;918.00;1211.54;1740.00
42;918.00;1203.98;1650.00
43;918.00;1192.54;1667.00
44;918.00;1167.71;1655.00
45;918.00;1167.90;1730.00
46;918.00;1176.73;1651.00
47;918.00;1186.74;1713.00
48;918.00;1165.53;1647.00
49;918.00;1181.79;1749.00
50;918.00;1184.86;1682.00
51;918.00;1185.53;1667.00
52;918.00;1175.46;1666.00
53;918.00;1180.03;1680.00
54;918.00;1183.25;1738.00
55;918.00;1178.26;1830.00
56;918.00;1173.43;1681.00
57;918.00;1188.62;1720.00
58;918.00;1153.63;1667.00
59;918.00;1178.38;1682.00
60;918.00;1176.40;1699.00
61;918.00;1182.09;1812.00
62;918.00;1151.39;1631.00
63;918.00;1172.26;1713.00
64;918.00;1186.72;1703.00
65;918.00;1190.09;1766.00
66;918.00;1160.04;1661.00
67;918.00;1166.90;1712.00
68;918.00;1173.49;1751.00
69;918.00;1154.36;1728.00
70;918.00;1167.12;1697.00
71;901.00;1167.60;1780.00
72;901.00;1185.04;1717.00
73;901.00;1217.83;1805.00
74;901.00;1207.08;1676.00
75;901.00;1179.90;1607.00
76;901.00;1121.60;1745.00
77;901.00;1121.35;1712.00
78;901.00;1117.35;1615.00
79;901.00;1128.98;1786.00
80;901.00;1113.12;1700.00
81;901.00;1126.89;1676.00
82;898.00;1140.91;1703.00
83;898.00;1127.37;1670.00
84;898.00;1160.80;1679.00
85;889.00;1169.07;1636.00
86;889.00;1144.25;1693.00
87;889.00;1142.27;1763.00
88;889.00;1150.44;1765.00
89;889.00;1113.55;1607.00
90;889.00;1113.08;1670.00
91;889.00;1114.24;1649.00
92;889.00;1119.88;1637.00
93;889.00;1109.69;1645.00
94;889.00;1115.54;1633.00
95;889.00;1109.52;1629.00
96;887.00;1121.66;1632.00
97;887.00;1129.32;1772.00
98;887.00;1163.53;1657.00
99;887.00;1169.66;1690.00
100;887.00;1155.92;1766.00
101;887.00;1118.12;1824.00
102;887.00;1117.57;1702.00
103;887.00;1100.78;1707.00
104;887.00;1124.12;1662.00
105;887.00;1128.63;1677.00
106;887.00;1113.66;1689.00
107;887.00;1140.62;1636.00
108;887.00;1137.48;1679.00
109;887.00;1115.79;1639.00
110;887.00;1125.32;1664.00
111;887.00;1119.56;1635.00
112;887.00;1117.75;1670.00
113;887.00;1127.04;1606.00
114;887.00;1129.31;1606.00
115;887.00;1110.76;1657.00
116;887.00;1137.28;1693.00
117;887.00;1137.51;1615.00
118;887.00;1139.96;1667.00
119;887.00;1125.05;1696.00
120;887.00;1120.65;1736.00
121;887.00;1115.14;1593.00
122;887.00;1124.11;1724.00
123;887.00;1134.77;1700.00
