generation;best;average;worst
0;1837.00;3691.93;4285.00
1;1837.00;3477.94;4084.00
2;1837.00;3037.50;3829.00
3;1837.00;2365.76;3325.00
4;1837.00;2158.96;2657.00
5;1837.00;2100.20;2644.00
6;1814.00;2088.91;2615.00
7;1814.00;2088.59;2702.00
8;1784.00;2072.66;2523.00
9;1770.00;2072.71;2596.00
10;1769.00;2081.05;2722.00
11;1769.00;2067.56;2610.00
12;1739.00;2084.65;2609.00
13;1739.00;2080.28;2533.00
14;1739.00;2101.99;2639.00
15;1736.00;2083.01;2788.00
16;1736.00;2061.49;2758.00
17;1736.00;2042.74;2603.00
18;1705.00;2032.11;2575.00
19;1702.00;1991.16;2617.00
20;1702.00;2006.12;2622.00
21;1702.00;2014.14;2584.00
22;1660.00;2025.62;2684.00
23;1660.00;2016.67;2572.00
24;1660.00;1989.14;2573.00
25;1632.00;1987.36;2583.00
26;1632.00;1972.95;2543.00
27;1625.00;1951.45;2598.00
28;1616.00;1982.49;2630.00
29;1612.00;1985.06;2603.00
30;1594.00;1975.91;2581.00
31;1586.00;1941.90;2571.00
32;1586.00;1953.68;2590.00
33;1570.00;1904.59;2571.00
34;1558.00;1895.13;2502.00
35;1558.00;1894.21;2449.00
36;1550.00;1857.65;2446.00
37;1550.00;1862.52;2460.00
38;1549.00;1833.08;2528.00
39;1549.00;1842.49;2421.00
40;1549.00;1849.10;2412.00
41;1549.00;1826.84;2509.00
42;1546.00;1875.28;2461.00
43;1546.00;1873.14;2416.00
44;1545.00;1866.59;2451.00
45;1545.00;1889.34;2389.00
46;1545.00;1877.50;2375.00
47;1542.00;1868.60;2474.00
48;1537.00;1867.59;2400.00
49;1537.00;1875.34;2617.00
50;1537.00;1872.32;2487.00
51;1537.00;1854.52;2492.00
52;1537.00;1837.53;2449.00
53;1536.00;1844.32;2478.00
54;1535.00;1808.48;2384.00
55;1533.00;1821.52;2490.00
56;1533.00;1804.59;2424.00
57;1531.00;1826.03;2423.00
58;1531.00;1812.87;2464.00
59;1531.00;1891.21;2546.00
60;1531.00;1896.12;2675.00
61;1531.00;1881.76;2718.00
62;1520.00;1805.65;2538.00
63;1520.00;1817.81;2527.00
64;1520.00;1838.16;2537.00
65;1520.00;1839.44;2487.00
66;1519.00;1814.56;2492.00
67;1519.00;1807.63;2497.00
68;1519.00;1820.86;2565.00
69;1518.00;1869.08;2549.00
70;1518.00;1861.57;2540.00
71;1518.00;1866.41;2532.00
72;1516.00;1853.98;2483.00
73;1512.00;1814.39;2387.00
74;1510.00;1831.36;2493.00
75;1510.00;1853.72;2522.00
76;1510.00;1827.49;2534.00
77;1510.00;1813.81;2458.00
78;1510.00;1809.88;2469.00
79;1510.00;1802.66;2520.00
80;1510.00;1808.36;2414.00
81;1510.00;1817.48;2511.00
82;1510.00;1793.93;2393.00
83;1510.00;1775.73;2556.00
84;1510.00;1789.47;2493.00
85;1510.00;1785.63;2554.00
86;1510.00;1800.72;2415.00
87;1510.00;1796.31;2452.00
88;1510.00;1807.58;2481.00
89;1510.00;1773.53;2425.00
90;1510.00;1793.48;2410.00
91;1505.00;1829.60;2555.00
92;1505.00;1821.49;2434.00
93;1505.00;1807.67;2473.00
94;1505.00;1852.80;2613.00
95;1505.00;1842.17;2405.00
96;1505.00;1780.32;2409.00
97;1505.00;1798.89;2513.00
98;1505.00;1778.29;2440.00
99;1505.00;1802.93;2459.00
100;1505.00;1808.08;2489.00
101;1505.00;1812.75;2461.00
102;1505.00;1784.55;2648.00
103;1505.00;1793.25;2425.00
