generation;best;average;worst
0;1145.00;2125.37;2503.00
1;1145.00;1912.97;2386.00
2;1145.00;1673.36;2249.00
3;1139.00;1364.69;1897.00
4;1107.00;1311.01;1725.00
5;1107.00;1304.24;1743.00
6;1107.00;1320.50;1772.00
7;1024.00;1297.22;1746.00
8;1019.00;1282.58;1650.00
9;1019.00;1274.98;1723.00
10;1019.00;1260.24;1775.00
11;950.00;1233.11;1666.00
12;950.00;1232.77;1655.00
13;950.00;1212.16;1616.00
14;950.00;1202.57;1671.00
15;950.00;1191.95;1608.00
16;950.00;1186.05;1682.00
17;934.00;1180.88;1677.00
18;934.00;1186.30;1650.00
19;934.00;1194.93;1629.00
20;934.00;1187.82;1647.00
21;934.00;1190.11;1614.00
22;934.00;1187.18;1750.00
23;934.00;1205.88;1736.00
24;934.00;1192.77;1732.00
25;931.00;1211.74;1732.00
26;931.00;1206.57;1671.00
27;929.00;1186.52;1681.00
28;929.00;1188.43;1707.00
29;929.00;1189.78;1714.00
30;929.00;1184.00;1655.00
31;929.00;1195.16;1598.00
32;929.00;1181.99;1633.00
33;929.00;1181.39;1644.00
34;929.00;1179.01;1672.00
35;929.00;1186.68;1588.00
36;929.00;1188.09;1769.00
37;929.00;1192.46;1730.00
38;929.00;1190.46;1791.00
39;929.00;1188.57;1614.00
40;929.00;1184.09;1621.00
41;929.00;1178.11;1650.00
42;929.00;1187.80;1643.00
43;929.00;1182.68;1634.00
44;929.00;1184.06;1658.00
45;929.00;1183.37;1617.00
46;929.00;1167.24;1713.00
47;929.00;1188.00;1743.00
48;929.00;1178.93;1646.00
49;929.00;1189.14;1801.00
50;929.00;1188.27;1749.00
51;929.00;1183.43;1653.00
52;929.00;1180.57;1678.00
53;929.00;1190.90;1605.00
54;929.00;1184.57;1659.00
55;929.00;1177.34;1690.00
56;929.00;1178.57;1706.00
57;929.00;1188.43;1671.00
58;929.00;1186.68;1653.00
59;929.00;1191.37;1743.00
60;929.00;1195.79;1659.00
61;928.00;1199.72;1801.00
62;928.00;1184.44;1803.00
63;928.00;1197.28;1560.00
64;928.00;1198.28;1668.00
65;928.00;1189.26;1623.00
66;928.00;1190.62;1663.00
67;928.00;1195.45;1719.00
68;928.00;1190.87;1693.00
69;928.00;1191.62;1584.00
70;928.00;1191.05;1630.00
71;928.00;1184.88;1738.00
72;928.00;1179.11;1632.00
73;928.00;1183.96;1607.00
74;928.00;1193.65;1639.00
75;922.00;1189.42;1662.00
76;922.00;1183.12;1665.00
77;922.00;1194.04;1754.00
