generation;best;average;worst
0;1334.00;2214.84;2563.00
1;1334.00;2065.54;2565.00
2;1334.00;1913.43;2468.00
3;1312.00;1741.39;2235.00
4;1289.00;1607.91;2172.00
5;1255.00;1564.60;2041.00
6;1255.00;1577.49;2047.00
7;1249.00;1567.55;2020.00
8;1249.00;1525.73;2115.00
9;1228.00;1501.09;2104.00
10;1228.00;1498.67;2071.00
11;1228.00;1511.05;2032.00
12;1228.00;1494.40;2015.00
13;1221.00;1491.13;1941.00
14;1208.00;1456.26;1993.00
15;1199.00;1448.21;1943.00
16;1198.00;1451.51;1958.00
17;1133.00;1450.07;1957.00
18;1133.00;1458.95;1953.00
19;1133.00;1434.80;1958.00
20;1130.00;1424.61;1935.00
21;1115.00;1405.13;1896.00
22;1115.00;1388.40;1906.00
23;1111.00;1369.13;1859.00
24;1095.00;1373.30;1875.00
25;1095.00;1370.53;1816.00
26;1095.00;1368.01;1955.00
27;1093.00;1366.55;1865.00
28;1093.00;1357.49;1831.00
29;1090.00;1343.50;1800.00
30;1090.00;1354.15;1888.00
31;1086.00;1352.71;1748.00
32;1084.00;1325.72;1760.00
33;1084.00;1292.14;1822.00
34;1081.00;1308.31;1890.00
35;1081.00;1305.64;1853.00
36;1078.00;1300.20;1809.00
37;1078.00;1289.24;1812.00
38;1078.00;1293.33;1718.00
39;1070.00;1293.53;1834.00
40;1070.00;1278.54;1983.00
41;1070.00;1292.19;1809.00
42;1063.00;1303.00;1806.00
43;1063.00;1301.75;1913.00
44;1063.00;1314.23;1809.00
45;1063.00;1325.71;1883.00
46;1063.00;1305.62;1770.00
47;1055.00;1278.63;1970.00
48;1055.00;1277.20;1788.00
49;1055.00;1286.21;1772.00
50;1055.00;1262.43;1862.00
51;1055.00;1278.80;1807.00
52;1055.00;1286.45;1965.00
53;1051.00;1290.71;1846.00
54;1051.00;1263.86;1791.00
55;1051.00;1301.69;1807.00
56;1051.00;1297.05;1946.00
57;1047.00;1252.78;1757.00
58;1047.00;1253.28;1794.00
59;1044.00;1256.15;1679.00
60;1044.00;1260.46;1884.00
61;1044.00;1273.00;1873.00
62;1044.00;1263.93;1863.00
63;1044.00;1275.39;1906.00
64;1044.00;1234.55;1828.00
65;1044.00;1240.82;1739.00
66;1044.00;1260.10;1784.00
67;1041.00;1237.40;1723.00
68;1041.00;1239.78;1873.00
69;1041.00;1250.29;1755.00
70;1041.00;1259.53;1851.00
71;1041.00;1218.66;1729.00
72;1041.00;1217.34;1790.00
73;1041.00;1226.29;1727.00
74;1041.00;1220.11;1684.00
75;1041.00;1220.34;1733.00
76;1038.00;1223.84;1772.00
77;1038.00;1236.27;1914.00
78;1038.00;1250.81;1765.00
79;1038.00;1233.41;1746.00
80;1037.00;1221.15;1785.00
81;1037.00;1216.51;1798.00
82;1037.00;1242.17;1871.00
83;1037.00;1265.96;1746.00
84;1037.00;1195.65;1730.00
85;1037.00;1206.54;1830.00
86;1037.00;1211.12;1840.00
87;1037.00;1189.27;1707.00
88;1037.00;1190.59;1781.00
89;1037.00;1191.94;1723.00
90;1034.00;1203.32;1665.00
91;1034.00;1216.29;1736.00
92;1034.00;1220.83;1830.00
93;1034.00;1270.38;1811.00
94;1034.00;1202.49;1690.00
95;1034.00;1191.32;1724.00
96;1034.00;1198.29;1748.00
97;1034.00;1193.06;1767.00
98;1025.00;1188.39;1762.00
99;1025.00;1197.03;1722.00
100;1025.00;1218.05;1691.00
101;1025.00;1198.43;1932.00
102;1025.00;1188.77;1775.00
103;1025.00;1189.80;1761.00
104;1024.00;1181.44;1812.00
105;1024.00;1190.18;1763.00
106;1024.00;1205.44;1748.00
107;1017.00;1243.01;1807.00
108;1017.00;1213.78;1876.00
109;1017.00;1268.92;1837.00
110;1017.00;1298.14;1853.00
111;1017.00;1306.19;1789.00
112;1017.00;1317.97;1967.00
113;1017.00;1315.56;1809.00
114;1017.00;1324.16;1897.00
115;1017.00;1325.08;1735.00
116;1017.00;1266.09;1754.00
117;1017.00;1216.41;1749.00
118;1017.00;1196.35;1697.00
119;1017.00;1205.21;1744.00
120;1017.00;1215.06;1748.00
121;1017.00;1208.32;1754.00
122;1017.00;1203.76;1764.00
123;1017.00;1211.17;1754.00
124;1017.00;1213.84;1800.00
125;1017.00;1216.55;1730.00
126;1017.00;1218.14;1759.00
127;1017.00;1220.89;1876.00
128;1017.00;1231.36;1821.00
129;1017.00;1215.64;1748.00
130;1017.00;1232.71;1864.00
131;1017.00;1220.33;1764.00
132;1017.00;1201.66;1711.00
133;1017.00;1200.85;1781.00
134;1017.00;1189.54;1684.00
135;1017.00;1199.53;1634.00
136;1017.00;1194.84;1683.00
137;1017.00;1183.44;1751.00
138;1017.00;1203.43;1758.00
139;1017.00;1172.77;1660.00
140;1017.00;1200.31;1709.00
141;1017.00;1201.62;1709.00
142;1009.00;1228.57;1738.00
143;1009.00;1246.28;1829.00
144;1009.00;1246.03;1868.00
145;1009.00;1210.54;1734.00
146;1009.00;1191.87;1788.00
147;1009.00;1203.09;1709.00
148;1009.00;1213.68;1782.00
149;1009.00;1212.69;1709.00
150;1009.00;1198.61;1787.00
151;1009.00;1187.62;1686.00
152;1009.00;1190.42;1706.00
153;1009.00;1189.91;1707.00
154;1009.00;1198.62;1691.00
155;1009.00;1220.03;1769.00
156;1009.00;1229.46;1713.00
157;1009.00;1215.04;1700.00
158;1009.00;1219.48;1783.00
159;1009.00;1211.22;1738.00
160;1009.00;1191.01;1792.00
161;1009.00;1177.22;1681.00
162;1009.00;1195.76;1648.00
163;1009.00;1196.73;1690.00
164;1009.00;1197.18;1699.00
165;1009.00;1203.03;1790.00
166;1009.00;1200.90;1756.00
167;1009.00;1202.29;1838.00
168;1009.00;1209.41;1827.00
169;1009.00;1209.28;1703.00
170;1009.00;1197.79;1772.00
171;1009.00;1200.46;1770.00
172;1009.00;1199.97;1794.00
173;1009.00;1188.26;1750.00
174;1009.00;1190.73;1818.00
175;1009.00;1205.24;1660.00
176;1009.00;1196.60;1757.00
177;1009.00;1201.80;1749.00
178;1009.00;1198.91;1783.00
179;1009.00;1207.96;1688.00
180;1009.00;1211.46;1779.00
181;1009.00;1204.51;1740.00
182;1009.00;1218.92;1730.00
183;1009.00;1234.62;1777.00
184;1009.00;1252.75;1746.00
185;1009.00;1247.82;1907.00
186;1009.00;1233.67;1813.00
187;1009.00;1216.00;1721.00
188;1009.00;1215.99;1669.00
189;1009.00;1212.02;1778.00
190;1009.00;1223.88;1755.00
191;1009.00;1222.41;1843.00
192;1009.00;1221.65;1774.00
193;1009.00;1220.95;1705.00
194;1009.00;1235.07;1795.00
195;1009.00;1225.23;1803.00
196;1009.00;1231.98;1750.00
197;1009.00;1227.90;1789.00
198;1009.00;1209.95;1748.00
199;1009.00;1214.04;1696.00
200;1009.00;1222.54;1838.00
201;1009.00;1234.24;1809.00
202;1009.00;1213.95;1854.00
203;1009.00;1218.40;1768.00
204;1009.00;1213.88;1722.00
205;1009.00;1207.03;1781.00
206;1009.00;1216.80;1761.00
207;1009.00;1205.42;1733.00
208;1009.00;1242.76;1774.00
209;1009.00;1236.75;1787.00
210;1009.00;1227.37;1758.00
211;1009.00;1251.48;1923.00
212;1009.00;1213.94;1767.00
213;1009.00;1231.36;1794.00
214;1009.00;1210.55;1737.00
215;1009.00;1243.55;1709.00
216;1009.00;1230.89;1746.00
217;1009.00;1233.44;1722.00
218;1009.00;1235.06;1747.00
219;1009.00;1235.41;1833.00
220;1009.00;1222.66;1704.00
221;1009.00;1253.95;1816.00
222;1009.00;1224.52;1786.00
223;1009.00;1231.55;1795.00
224;1009.00;1231.02;1888.00
225;1009.00;1218.74;1691.00
226;1009.00;1255.39;1814.00
227;1009.00;1247.43;1802.00
228;1009.00;1263.71;1805.00
229;1009.00;1221.75;1799.00
230;1009.00;1221.52;1790.00
231;1009.00;1222.31;1773.00
232;1009.00;1233.58;1820.00
233;1009.00;1242.61;1902.00
234;1009.00;1214.65;1748.00
235;1009.00;1241.03;1834.00
236;1009.00;1224.87;1773.00
237;1009.00;1242.89;1816.00
238;1009.00;1211.73;1680.00
239;1009.00;1230.28;1783.00
240;1009.00;1227.09;1785.00
241;1009.00;1209.70;1768.00
242;1009.00;1231.84;1803.00
243;1009.00;1239.24;1863.00
244;1009.00;1222.86;1778.00
245;1009.00;1240.88;1775.00
246;1009.00;1242.80;1778.00
247;1009.00;1249.83;1767.00
248;1009.00;1220.93;1744.00
249;1009.00;1222.84;1735.00
250;1009.00;1234.86;1720.00
251;1009.00;1238.06;1813.00
252;1009.00;1240.78;1829.00
253;1009.00;1243.39;1741.00
254;1009.00;1235.54;1801.00
255;1009.00;1248.42;1921.00
256;1009.00;1251.26;1707.00
257;1009.00;1243.43;1764.00
258;1009.00;1223.26;1780.00
259;1009.00;1218.43;1734.00
260;1009.00;1226.23;1736.00
261;1009.00;1236.44;1826.00
262;1009.00;1239.27;1803.00
263;1009.00;1226.17;1851.00
264;1009.00;1245.30;1791.00
265;1009.00;1220.14;1759.00
266;1009.00;1224.91;1664.00
267;1009.00;1225.72;1829.00
268;1009.00;1241.04;1824.00
269;1009.00;1226.31;1770.00
270;1009.00;1232.56;1733.00
271;1009.00;1217.94;1765.00
272;1009.00;1238.24;1716.00
273;1009.00;1220.01;1819.00
274;1009.00;1243.96;1761.00
275;1009.00;1240.67;1856.00
276;1009.00;1226.70;1751.00
277;1009.00;1219.35;1743.00
278;1009.00;1204.75;1836.00
279;1009.00;1235.93;1691.00
280;1009.00;1212.31;1755.00
281;1009.00;1233.59;1730.00
282;1009.00;1222.95;1720.00
283;1009.00;1206.57;1983.00
284;1009.00;1205.10;1808.00
285;1009.00;1225.90;1775.00
286;1009.00;1190.76;1754.00
287;1009.00;1222.17;1766.00
288;1009.00;1241.02;1770.00
289;1009.00;1233.56;1795.00
290;1009.00;1213.45;1729.00
291;1009.00;1228.99;1771.00
292;1009.00;1216.40;1838.00
293;1009.00;1236.71;1868.00
294;1009.00;1211.70;1836.00
295;1009.00;1218.55;1747.00
296;1009.00;1219.09;1855.00
297;1009.00;1227.32;1727.00
298;1009.00;1204.17;1652.00
299;1009.00;1211.43;1863.00
300;1009.00;1201.07;1865.00
301;1009.00;1211.93;1769.00
302;1009.00;1225.94;1861.00
303;1009.00;1219.86;1738.00
304;1009.00;1238.26;1785.00
305;1009.00;1236.86;1730.00
306;1009.00;1251.59;1770.00
307;1009.00;1239.82;1774.00
308;1009.00;1227.71;1778.00
309;1009.00;1221.50;1812.00
310;1009.00;1215.87;1766.00
311;1009.00;1210.79;1838.00
312;1009.00;1227.71;1736.00
313;1009.00;1210.56;1804.00
314;1009.00;1206.48;1744.00
315;1009.00;1211.33;1815.00
316;1009.00;1224.66;1936.00
317;1009.00;1216.91;1880.00
318;1009.00;1225.13;1781.00
319;1009.00;1237.08;1788.00
320;1009.00;1231.96;1822.00
321;1009.00;1235.57;1734.00
322;1009.00;1220.82;1764.00
323;1009.00;1218.57;1770.00
324;1009.00;1219.22;1956.00
325;1009.00;1230.56;1763.00
326;1009.00;1233.45;1853.00
327;1009.00;1229.26;1848.00
328;1009.00;1229.51;1683.00
329;1009.00;1223.30;1843.00
330;1009.00;1224.89;1778.00
331;1009.00;1201.27;1711.00
332;1009.00;1199.72;1727.00
333;1009.00;1213.85;1789.00
334;1009.00;1211.69;1823.00
335;1009.00;1186.50;1715.00
336;1009.00;1198.79;1780.00
337;1009.00;1215.16;1814.00
338;1009.00;1182.18;1664.00
339;1009.00;1181.06;1859.00
340;1009.00;1164.11;1718.00
341;1009.00;1183.34;1732.00
342;1009.00;1188.10;1725.00
343;1009.00;1217.13;1844.00
344;1009.00;1207.98;1732.00
345;1009.00;1221.63;1830.00
346;1009.00;1195.83;1741.00
347;1009.00;1208.46;1761.00
348;1009.00;1224.31;1760.00
349;1009.00;1231.38;1774.00
350;1009.00;1214.48;1683.00
351;1009.00;1239.84;1774.00
352;1009.00;1239.68;1755.00
353;1009.00;1233.78;1666.00
354;1009.00;1224.51;1873.00
355;1009.00;1258.14;1796.00
356;1009.00;1232.66;1803.00
357;1009.00;1236.03;1742.00
358;1009.00;1229.43;1745.00
359;1009.00;1254.52;1874.00
360;1009.00;1236.70;1735.00
361;1009.00;1235.33;1758.00
362;1009.00;1199.39;1754.00
363;1009.00;1213.94;1798.00
364;1009.00;1235.99;1728.00
365;1009.00;1251.69;1778.00
366;1009.00;1229.47;1777.00
367;1009.00;1243.89;1828.00
368;1009.00;1256.47;1802.00
369;1009.00;1238.09;1746.00
370;1009.00;1234.48;1838.00
371;1009.00;1211.54;1713.00
372;1009.00;1230.42;1726.00
373;1009.00;1229.41;1764.00
374;1009.00;1219.24;1911.00
375;1009.00;1212.79;1759.00
376;1009.00;1223.74;1760.00
377;1009.00;1202.87;1819.00
378;1009.00;1230.69;1731.00
379;1009.00;1224.88;1824.00
380;1009.00;1219.45;1711.00
381;1009.00;1218.65;1751.00
382;1009.00;1218.04;1935.00
383;1009.00;1225.17;1838.00
384;1009.00;1229.01;1828.00
385;1009.00;1217.16;1806.00
386;1009.00;1220.80;1743.00
387;1009.00;1202.13;1832.00
388;1009.00;1239.20;1880.00
389;1009.00;1235.81;1775.00
390;1009.00;1219.64;1761.00
391;1009.00;1226.72;1728.00
392;1009.00;1241.67;1781.00
393;1009.00;1228.69;1769.00
394;1009.00;1234.72;1730.00
395;1009.00;1215.39;1743.00
396;1009.00;1237.79;1777.00
397;1009.00;1218.44;1735.00
398;1009.00;1234.17;1727.00
399;1009.00;1219.64;1766.00
400;1009.00;1212.04;1936.00
401;1009.00;1231.78;1792.00
402;1009.00;1227.81;1885.00
403;1009.00;1226.39;1696.00
404;1009.00;1209.68;1659.00
405;1009.00;1236.64;1777.00
406;1009.00;1205.36;1802.00
407;1009.00;1219.11;1830.00
408;1009.00;1225.03;1859.00
409;1009.00;1218.62;1779.00
410;1009.00;1223.87;1822.00
411;1009.00;1223.03;1802.00
412;1009.00;1202.77;1722.00
413;1009.00;1203.31;1701.00
414;1009.00;1206.22;1706.00
415;1009.00;1210.30;1777.00
416;1009.00;1208.78;1707.00
417;1009.00;1235.90;1807.00
418;1009.00;1204.24;1778.00
419;1009.00;1227.31;1728.00
420;1009.00;1218.34;1751.00
421;1009.00;1222.21;1758.00
422;1009.00;1220.74;1799.00
423;1009.00;1222.71;1754.00
424;1009.00;1232.17;1771.00
425;1009.00;1243.02;1789.00
426;1009.00;1261.20;1769.00
427;1009.00;1239.80;1807.00
428;1009.00;1242.58;1990.00
429;1009.00;1222.89;1757.00
430;1009.00;1222.84;1706.00
431;1009.00;1219.97;1771.00
432;1009.00;1206.95;1737.00
433;1009.00;1222.81;1765.00
434;1009.00;1234.73;1850.00
435;1009.00;1230.99;1756.00
436;1009.00;1220.18;1899.00
437;1009.00;1221.76;1856.00
438;1009.00;1213.94;1720.00
439;1009.00;1229.10;1884.00
440;1009.00;1232.22;1783.00
441;1009.00;1235.80;1773.00
442;1009.00;1230.40;1801.00
443;1009.00;1209.24;1824.00
444;1009.00;1235.27;1781.00
445;1009.00;1245.92;1902.00
446;1009.00;1193.97;1787.00
447;1009.00;1226.28;1839.00
448;1009.00;1239.17;1792.00
449;1009.00;1222.59;1799.00
450;1009.00;1220.37;1732.00
451;1009.00;1224.70;1727.00
452;1009.00;1231.73;1883.00
453;1009.00;1246.85;1819.00
454;1009.00;1219.18;1765.00
455;1009.00;1212.83;1750.00
456;1009.00;1225.99;1750.00
457;1009.00;1234.01;1774.00
458;1009.00;1232.46;1788.00
459;1009.00;1221.90;1839.00
460;1009.00;1239.66;1774.00
461;1009.00;1215.64;1823.00
462;1009.00;1241.21;1767.00
463;1009.00;1233.89;1824.00
464;1009.00;1243.36;1799.00
465;1009.00;1255.89;1819.00
466;1009.00;1223.11;1735.00
467;1009.00;1234.35;1887.00
468;1009.00;1224.03;1729.00
469;1009.00;1217.39;1854.00
470;1009.00;1231.12;1839.00
471;1009.00;1208.89;1802.00
472;1009.00;1216.20;1723.00
473;1009.00;1201.06;1811.00
474;1009.00;1206.02;1843.00
475;1009.00;1216.00;1818.00
476;1009.00;1230.50;1698.00
477;1009.00;1210.53;1816.00
478;1009.00;1212.52;1777.00
479;1009.00;1213.38;1715.00
480;1009.00;1232.23;1962.00
481;1009.00;1208.75;1697.00
482;1009.00;1218.84;1757.00
483;1009.00;1224.45;1757.00
484;1009.00;1218.55;1764.00
485;1009.00;1243.75;1777.00
486;1009.00;1232.18;1756.00
487;1009.00;1231.44;1789.00
488;1009.00;1236.61;1881.00
489;1009.00;1239.24;1927.00
490;1009.00;1222.82;1963.00
491;1009.00;1232.10;1760.00
492;1009.00;1214.43;1893.00
493;1009.00;1225.08;1774.00
494;1009.00;1217.19;1718.00
495;1009.00;1211.57;1730.00
496;1009.00;1188.90;1762.00
497;1009.00;1202.76;1683.00
498;1009.00;1212.04;1831.00
499;1009.00;1225.03;1802.00
500;1009.00;1236.01;1845.00
501;1009.00;1230.17;1880.00
502;1009.00;1223.35;1812.00
503;1009.00;1224.25;1742.00
504;1009.00;1263.58;1819.00
505;1009.00;1222.46;1806.00
506;1009.00;1209.32;1729.00
