generation;best;average;worst
0;1485.00;2804.69;3216.00
1;1485.00;2590.14;3022.00
2;1485.00;2285.02;2872.00
3;1485.00;1860.32;2413.00
4;1485.00;1791.38;2265.00
5;1485.00;1778.47;2231.00
6;1475.00;1746.02;2174.00
7;1475.00;1754.97;2273.00
8;1410.00;1757.25;2183.00
9;1410.00;1755.27;2226.00
10;1410.00;1725.84;2248.00
11;1410.00;1699.89;2153.00
12;1403.00;1687.53;2314.00
13;1403.00;1674.76;2105.00
14;1397.00;1685.03;2224.00
15;1393.00;1684.69;2110.00
16;1393.00;1714.88;2160.00
17;1381.00;1710.95;2115.00
18;1381.00;1694.50;2151.00
19;1381.00;1709.37;2116.00
20;1358.00;1687.34;2179.00
21;1358.00;1701.00;2126.00
22;1358.00;1683.20;2163.00
23;1313.00;1655.77;2097.00
24;1260.00;1641.18;2189.00
25;1260.00;1636.61;2208.00
26;1260.00;1634.57;2195.00
27;1260.00;1601.54;2086.00
28;1241.00;1600.48;2089.00
29;1241.00;1595.10;2023.00
30;1241.00;1575.62;2057.00
31;1241.00;1582.54;2137.00
32;1241.00;1554.92;2009.00
33;1241.00;1599.56;2069.00
34;1241.00;1576.69;2149.00
35;1241.00;1575.78;2118.00
36;1224.00;1561.64;2086.00
37;1224.00;1588.01;2048.00
38;1224.00;1572.77;2171.00
39;1222.00;1555.81;2103.00
40;1222.00;1544.11;2117.00
41;1222.00;1556.40;2144.00
42;1222.00;1545.00;2029.00
43;1222.00;1529.58;2021.00
44;1182.00;1519.48;1979.00
45;1182.00;1512.46;1926.00
46;1182.00;1502.62;1995.00
47;1182.00;1493.85;1993.00
48;1182.00;1481.39;2045.00
49;1182.00;1460.26;2045.00
50;1182.00;1454.03;1870.00
51;1182.00;1454.48;1849.00
52;1178.00;1446.71;1997.00
53;1178.00;1446.36;1938.00
54;1178.00;1444.49;1947.00
55;1169.00;1448.40;1853.00
56;1169.00;1436.72;1903.00
57;1169.00;1439.16;1954.00
58;1169.00;1442.50;1965.00
59;1169.00;1435.54;1982.00
60;1168.00;1449.85;1911.00
61;1168.00;1431.03;1928.00
62;1168.00;1457.04;1994.00
63;1166.00;1458.06;1918.00
64;1166.00;1462.50;1957.00
65;1165.00;1474.49;1969.00
66;1165.00;1456.01;1967.00
