A-n54-k7
Algorithm,Best,Worst,Average,Std
RANDOM,2641.00,3980.00,3293.04,171.35
GREEDY,1349.00,1612.00,1506.66,63.03
SA,1181.00,1236.00,1206.20,18.08
GA,1227.00,1291.00,1248.30,20.50
