generation;best;average;worst
0;1421.00;3285.37;3726.00
1;1421.00;3047.99;3543.00
2;1421.00;2563.11;3674.00
3;1421.00;1887.27;2536.00
4;1421.00;1758.35;2269.00
5;1416.00;1769.23;2419.00
6;1416.00;1755.56;2349.00
7;1416.00;1728.82;2210.00
8;1416.00;1729.33;2289.00
9;1413.00;1746.13;2330.00
10;1413.00;1735.81;2270.00
11;1413.00;1724.21;2278.00
12;1413.00;1735.92;2275.00
13;1413.00;1736.13;2311.00
14;1413.00;1725.54;2226.00
15;1412.00;1735.28;2355.00
16;1412.00;1731.72;2247.00
17;1412.00;1730.75;2197.00
18;1408.00;1734.01;2219.00
19;1408.00;1743.65;2157.00
20;1402.00;1745.46;2173.00
21;1391.00;1729.59;2302.00
22;1381.00;1725.51;2210.00
23;1381.00;1736.90;2197.00
24;1381.00;1722.95;2193.00
25;1360.00;1719.44;2175.00
26;1350.00;1706.00;2219.00
27;1350.00;1701.48;2276.00
28;1350.00;1691.45;2206.00
29;1350.00;1646.90;2188.00
30;1350.00;1677.89;2165.00
31;1350.00;1658.26;2198.00
32;1336.00;1686.81;2196.00
33;1336.00;1669.89;2179.00
34;1336.00;1667.03;2130.00
35;1336.00;1669.99;2331.00
36;1336.00;1664.11;2278.00
37;1336.00;1676.54;2232.00
38;1336.00;1686.16;2188.00
39;1336.00;1676.37;2145.00
40;1332.00;1677.06;2218.00
41;1331.00;1681.05;2123.00
42;1331.00;1670.77;2296.00
43;1331.00;1683.05;2209.00
44;1331.00;1692.59;2257.00
45;1331.00;1702.72;2157.00
46;1331.00;1692.75;2186.00
47;1331.00;1687.94;2330.00
48;1331.00;1683.83;2328.00
49;1331.00;1695.94;2223.00
50;1331.00;1701.38;2232.00
51;1331.00;1685.21;2186.00
52;1331.00;1697.41;2250.00
53;1331.00;1689.75;2199.00
54;1331.00;1683.89;2193.00
55;1331.00;1688.93;2289.00
56;1331.00;1698.13;2270.00
57;1331.00;1695.76;2263.00
58;1329.00;1679.64;2233.00
59;1328.00;1682.79;2236.00
60;1328.00;1696.99;2405.00
61;1328.00;1686.37;2320.00
62;1326.00;1673.39;2179.00
63;1326.00;1695.99;2260.00
64;1326.00;1691.85;2293.00
65;1326.00;1697.82;2231.00
66;1326.00;1692.62;2282.00
67;1326.00;1694.19;2252.00
68;1326.00;1682.18;2129.00
69;1326.00;1692.22;2144.00
70;1326.00;1673.82;2252.00
71;1326.00;1654.68;2146.00
72;1326.00;1690.01;2137.00
73;1326.00;1675.08;2259.00
74;1326.00;1666.85;2191.00
75;1326.00;1670.49;2192.00
76;1326.00;1660.08;2203.00
77;1326.00;1669.16;2262.00
78;1326.00;1674.33;2180.00
79;1326.00;1669.06;2219.00
80;1326.00;1657.00;2226.00
81;1322.00;1644.92;2158.00
82;1322.00;1669.44;2226.00
83;1322.00;1663.63;2170.00
84;1322.00;1663.59;2136.00
85;1322.00;1662.84;2176.00
86;1322.00;1649.26;2173.00
87;1322.00;1656.85;2220.00
88;1321.00;1655.00;2139.00
89;1321.00;1650.74;2188.00
90;1321.00;1663.56;2284.00
91;1321.00;1661.69;2285.00
92;1316.00;1669.48;2226.00
93;1315.00;1653.82;2235.00
94;1315.00;1660.73;2173.00
95;1314.00;1666.31;2230.00
96;1314.00;1660.77;2102.00
97;1314.00;1656.10;2221.00
98;1314.00;1637.97;2178.00
99;1314.00;1650.67;2313.00
100;1314.00;1641.10;2195.00
101;1314.00;1655.47;2242.00
102;1314.00;1638.60;2211.00
103;1314.00;1636.14;2241.00
104;1314.00;1648.60;2209.00
105;1314.00;1669.09;2243.00
106;1314.00;1670.82;2213.00
107;1314.00;1646.53;2161.00
108;1314.00;1654.57;2212.00
109;1314.00;1657.84;2249.00
110;1314.00;1639.11;2192.00
111;1314.00;1662.88;2165.00
112;1314.00;1671.60;2127.00
113;1314.00;1657.23;2230.00
114;1314.00;1669.05;2126.00
115;1314.00;1656.42;2194.00
116;1314.00;1662.58;2236.00
