generation;best;average;worst
0;1421.00;3285.61;3811.00
1;1421.00;3057.50;3566.00
2;1421.00;2600.34;3472.00
3;1421.00;1935.73;2671.00
4;1421.00;1784.44;2354.00
5;1418.00;1733.22;2306.00
6;1418.00;1730.09;2239.00
7;1418.00;1736.31;2212.00
8;1418.00;1726.78;2328.00
9;1418.00;1743.13;2257.00
10;1416.00;1729.38;2267.00
11;1410.00;1735.15;2367.00
12;1410.00;1733.16;2300.00
13;1408.00;1724.78;2243.00
14;1408.00;1738.22;2320.00
15;1408.00;1747.38;2248.00
16;1408.00;1758.72;2213.00
17;1403.00;1746.49;2336.00
18;1403.00;1726.67;2329.00
19;1403.00;1760.43;2186.00
20;1403.00;1732.83;2256.00
21;1403.00;1721.37;2369.00
22;1403.00;1733.97;2332.00
23;1403.00;1719.54;2259.00
24;1403.00;1701.56;2284.00
25;1403.00;1722.71;2281.00
26;1403.00;1725.33;2294.00
27;1403.00;1712.00;2327.00
28;1403.00;1726.71;2343.00
29;1403.00;1723.20;2309.00
30;1403.00;1723.97;2325.00
31;1403.00;1727.74;2281.00
32;1403.00;1729.63;2275.00
33;1403.00;1733.81;2303.00
34;1403.00;1736.58;2354.00
35;1403.00;1729.18;2346.00
36;1403.00;1726.19;2357.00
37;1403.00;1747.36;2404.00
38;1403.00;1739.61;2374.00
39;1403.00;1735.20;2383.00
40;1403.00;1736.40;2295.00
41;1403.00;1734.58;2341.00
42;1403.00;1735.09;2231.00
43;1403.00;1737.82;2374.00
44;1403.00;1732.91;2258.00
45;1403.00;1740.04;2272.00
46;1403.00;1740.49;2327.00
47;1388.00;1734.36;2306.00
48;1388.00;1733.59;2338.00
49;1388.00;1731.28;2330.00
50;1382.00;1721.14;2257.00
51;1376.00;1711.61;2255.00
52;1376.00;1713.41;2353.00
53;1376.00;1731.09;2227.00
54;1376.00;1724.31;2327.00
55;1376.00;1707.53;2273.00
56;1376.00;1698.65;2287.00
57;1376.00;1699.15;2274.00
58;1374.00;1690.95;2478.00
59;1374.00;1713.51;2250.00
60;1368.00;1716.18;2401.00
61;1368.00;1689.50;2326.00
62;1368.00;1711.84;2261.00
63;1368.00;1706.78;2278.00
64;1368.00;1716.33;2310.00
65;1368.00;1700.20;2382.00
66;1368.00;1712.14;2294.00
67;1349.00;1704.40;2387.00
68;1349.00;1720.96;2423.00
69;1349.00;1658.64;2341.00
70;1345.00;1641.85;2213.00
71;1345.00;1670.54;2268.00
72;1345.00;1647.29;2197.00
73;1345.00;1639.74;2145.00
74;1345.00;1666.97;2116.00
75;1345.00;1644.98;2251.00
76;1345.00;1644.06;2199.00
77;1345.00;1650.44;2202.00
78;1345.00;1648.82;2225.00
79;1345.00;1650.16;2172.00
80;1344.00;1662.56;2248.00
81;1344.00;1655.49;2237.00
82;1344.00;1672.81;2228.00
83;1344.00;1667.99;2270.00
84;1344.00;1678.61;2218.00
85;1344.00;1693.00;2210.00
86;1344.00;1695.44;2395.00
87;1344.00;1672.87;2176.00
88;1344.00;1690.10;2190.00
89;1344.00;1668.53;2282.00
90;1344.00;1698.58;2253.00
91;1332.00;1696.10;2249.00
92;1332.00;1680.73;2303.00
93;1329.00;1698.19;2221.00
94;1329.00;1693.21;2247.00
95;1329.00;1707.49;2192.00
96;1328.00;1701.25;2318.00
97;1328.00;1683.42;2199.00
98;1328.00;1714.75;2299.00
99;1328.00;1710.87;2383.00
100;1328.00;1718.40;2252.00
101;1328.00;1704.47;2250.00
102;1328.00;1715.77;2294.00
103;1328.00;1713.71;2437.00
104;1328.00;1693.55;2218.00
105;1324.00;1690.96;2407.00
106;1324.00;1691.14;2298.00
107;1324.00;1701.19;2429.00
108;1324.00;1711.44;2324.00
109;1324.00;1710.25;2468.00
110;1322.00;1681.88;2247.00
111;1322.00;1719.62;2398.00
112;1318.00;1709.61;2339.00
113;1318.00;1723.32;2293.00
114;1318.00;1677.89;2244.00
115;1318.00;1716.94;2369.00
116;1318.00;1683.30;2318.00
117;1318.00;1690.86;2293.00
118;1318.00;1713.03;2357.00
119;1318.00;1690.51;2251.00
120;1316.00;1677.94;2410.00
121;1315.00;1683.79;2245.00
122;1315.00;1678.87;2372.00
123;1315.00;1663.12;2237.00
124;1315.00;1698.77;2291.00
125;1315.00;1678.75;2379.00
126;1315.00;1689.15;2259.00
127;1315.00;1671.12;2238.00
128;1315.00;1674.32;2234.00
129;1314.00;1661.95;2186.00
130;1309.00;1643.52;2348.00
131;1309.00;1646.93;2219.00
132;1309.00;1632.98;2302.00
133;1309.00;1683.42;2307.00
134;1309.00;1682.51;2293.00
135;1306.00;1649.06;2261.00
136;1306.00;1658.17;2247.00
137;1306.00;1676.53;2218.00
138;1306.00;1661.03;2209.00
139;1306.00;1673.10;2349.00
140;1306.00;1657.20;2197.00
141;1306.00;1682.71;2216.00
142;1306.00;1681.06;2244.00
143;1306.00;1679.40;2293.00
144;1306.00;1669.51;2189.00
145;1306.00;1677.11;2234.00
146;1306.00;1692.07;2314.00
147;1306.00;1678.15;2270.00
148;1306.00;1657.53;2208.00
149;1306.00;1681.64;2152.00
150;1306.00;1664.57;2241.00
151;1306.00;1663.59;2238.00
152;1306.00;1644.32;2148.00
153;1306.00;1655.26;2257.00
154;1306.00;1654.14;2267.00
155;1304.00;1664.59;2258.00
156;1304.00;1650.87;2296.00
157;1304.00;1670.42;2266.00
158;1304.00;1665.42;2209.00
159;1304.00;1678.21;2303.00
160;1302.00;1680.97;2317.00
161;1302.00;1690.30;2272.00
162;1302.00;1714.01;2303.00
163;1301.00;1719.74;2367.00
164;1301.00;1725.13;2258.00
165;1301.00;1739.17;2239.00
166;1301.00;1714.75;2246.00
167;1301.00;1748.42;2291.00
168;1301.00;1747.62;2346.00
169;1298.00;1725.27;2241.00
170;1298.00;1737.80;2303.00
171;1298.00;1738.61;2257.00
172;1298.00;1720.68;2274.00
173;1298.00;1730.09;2294.00
174;1298.00;1748.23;2329.00
175;1298.00;1748.35;2395.00
176;1298.00;1732.38;2373.00
177;1298.00;1714.34;2343.00
178;1297.00;1727.62;2274.00
179;1297.00;1691.32;2264.00
180;1297.00;1658.29;2236.00
181;1297.00;1645.82;2184.00
182;1297.00;1618.90;2240.00
183;1297.00;1573.74;2219.00
184;1297.00;1584.65;2188.00
185;1297.00;1619.64;2319.00
186;1297.00;1598.12;2217.00
187;1297.00;1615.86;2276.00
188;1297.00;1591.96;2220.00
189;1297.00;1616.30;2267.00
190;1297.00;1622.95;2308.00
191;1297.00;1623.12;2358.00
192;1297.00;1642.28;2340.00
193;1297.00;1642.67;2294.00
194;1297.00;1631.91;2211.00
195;1297.00;1642.06;2362.00
196;1297.00;1605.29;2314.00
197;1297.00;1606.57;2351.00
198;1297.00;1628.29;2216.00
199;1297.00;1627.73;2241.00
200;1297.00;1624.65;2243.00
201;1297.00;1614.52;2220.00
202;1297.00;1605.54;2330.00
203;1297.00;1608.02;2241.00
204;1297.00;1623.15;2279.00
205;1297.00;1636.72;2291.00
206;1297.00;1627.22;2289.00
207;1297.00;1625.33;2201.00
208;1297.00;1645.13;2239.00
209;1297.00;1640.53;2368.00
210;1297.00;1612.61;2246.00
211;1297.00;1593.25;2273.00
212;1297.00;1635.67;2213.00
213;1297.00;1671.23;2258.00
214;1297.00;1630.98;2272.00
215;1297.00;1586.55;2254.00
216;1297.00;1609.07;2396.00
217;1297.00;1591.81;2236.00
218;1297.00;1584.28;2263.00
219;1297.00;1615.53;2266.00
220;1297.00;1642.42;2262.00
221;1297.00;1619.18;2240.00
222;1297.00;1598.69;2287.00
223;1297.00;1623.51;2516.00
224;1293.00;1640.12;2316.00
225;1293.00;1623.33;2259.00
226;1293.00;1653.32;2196.00
227;1293.00;1710.50;2319.00
228;1293.00;1721.30;2230.00
229;1293.00;1702.51;2393.00
230;1293.00;1745.82;2363.00
231;1293.00;1705.16;2276.00
232;1293.00;1685.09;2263.00
233;1293.00;1659.73;2366.00
234;1293.00;1564.01;2289.00
235;1293.00;1543.46;2298.00
236;1293.00;1512.40;2424.00
237;1293.00;1553.15;2310.00
238;1293.00;1557.23;2446.00
239;1293.00;1541.15;2346.00
240;1293.00;1548.39;2418.00
241;1293.00;1548.55;2360.00
242;1293.00;1552.69;2222.00
243;1293.00;1554.23;2322.00
244;1293.00;1520.96;2212.00
245;1293.00;1559.05;2429.00
246;1293.00;1579.54;2292.00
247;1293.00;1565.46;2245.00
248;1293.00;1544.87;2234.00
249;1293.00;1558.81;2360.00
250;1293.00;1561.17;2206.00
251;1293.00;1550.17;2224.00
252;1293.00;1566.50;2349.00
253;1293.00;1558.59;2270.00
254;1293.00;1565.22;2216.00
255;1293.00;1540.04;2344.00
256;1293.00;1534.95;2246.00
257;1293.00;1544.09;2199.00
258;1293.00;1548.22;2304.00
259;1293.00;1550.68;2333.00
260;1293.00;1592.96;2339.00
261;1293.00;1551.45;2192.00
262;1293.00;1559.75;2333.00
263;1293.00;1580.70;2342.00
264;1293.00;1529.55;2312.00
265;1293.00;1552.86;2274.00
266;1293.00;1570.68;2244.00
267;1293.00;1538.24;2226.00
268;1293.00;1559.67;2383.00
269;1293.00;1524.93;2415.00
270;1293.00;1535.95;2386.00
271;1293.00;1560.57;2331.00
272;1293.00;1547.29;2304.00
273;1293.00;1546.87;2332.00
274;1293.00;1566.17;2302.00
275;1293.00;1551.28;2269.00
276;1293.00;1542.72;2227.00
277;1293.00;1550.27;2284.00
278;1293.00;1573.80;2357.00
279;1293.00;1572.00;2306.00
280;1293.00;1575.54;2264.00
281;1293.00;1572.54;2245.00
282;1293.00;1572.98;2283.00
283;1293.00;1570.19;2390.00
284;1293.00;1577.07;2365.00
285;1293.00;1586.72;2205.00
286;1293.00;1565.05;2207.00
287;1293.00;1579.90;2307.00
288;1293.00;1583.86;2305.00
289;1293.00;1589.72;2296.00
290;1293.00;1603.22;2247.00
291;1293.00;1602.92;2415.00
292;1293.00;1591.04;2199.00
293;1293.00;1582.92;2323.00
294;1293.00;1597.84;2326.00
295;1293.00;1604.93;2232.00
296;1293.00;1569.29;2239.00
297;1293.00;1580.62;2369.00
298;1293.00;1571.68;2368.00
299;1293.00;1554.30;2193.00
300;1293.00;1568.62;2316.00
301;1293.00;1570.63;2230.00
302;1293.00;1577.89;2328.00
303;1293.00;1573.16;2416.00
304;1293.00;1552.16;2349.00
305;1293.00;1558.39;2406.00
306;1293.00;1546.19;2299.00
307;1293.00;1546.01;2306.00
308;1293.00;1560.46;2458.00
309;1293.00;1546.84;2304.00
310;1293.00;1561.39;2304.00
311;1293.00;1584.80;2370.00
312;1293.00;1563.98;2302.00
313;1293.00;1581.49;2315.00
314;1293.00;1600.78;2307.00
315;1293.00;1585.34;2252.00
316;1293.00;1601.05;2257.00
317;1293.00;1565.93;2306.00
318;1293.00;1582.56;2258.00
319;1293.00;1592.21;2305.00
320;1293.00;1576.36;2406.00
321;1293.00;1587.88;2437.00
322;1293.00;1573.92;2307.00
323;1293.00;1592.76;2367.00
324;1293.00;1568.23;2266.00
325;1293.00;1594.14;2338.00
326;1293.00;1585.17;2406.00
327;1293.00;1565.40;2267.00
328;1293.00;1592.93;2295.00
329;1293.00;1567.99;2222.00
330;1293.00;1578.64;2290.00
331;1293.00;1561.69;2230.00
332;1293.00;1571.69;2285.00
333;1293.00;1591.40;2375.00
334;1293.00;1581.69;2302.00
335;1293.00;1590.92;2402.00
336;1293.00;1582.67;2249.00
337;1293.00;1582.06;2348.00
338;1293.00;1591.47;2350.00
339;1293.00;1567.25;2399.00
340;1293.00;1594.50;2337.00
341;1293.00;1583.67;2238.00
342;1293.00;1574.95;2223.00
343;1293.00;1560.18;2292.00
344;1293.00;1592.77;2316.00
345;1293.00;1581.68;2213.00
