generation;best;average;worst
0;1421.00;3288.10;3738.00
1;1421.00;3064.83;3537.00
2;1421.00;2667.00;3388.00
3;1416.00;1948.01;2850.00
4;1402.00;1752.51;2430.00
5;1402.00;1749.92;2320.00
6;1402.00;1741.73;2298.00
7;1397.00;1730.51;2295.00
8;1385.00;1735.24;2294.00
9;1385.00;1718.69;2237.00
10;1385.00;1715.92;2280.00
11;1380.00;1709.87;2243.00
12;1380.00;1725.03;2215.00
13;1380.00;1733.48;2203.00
14;1380.00;1709.45;2163.00
15;1380.00;1717.98;2364.00
16;1380.00;1716.71;2365.00
17;1380.00;1706.54;2241.00
18;1380.00;1714.41;2258.00
19;1377.00;1711.28;2358.00
20;1373.00;1709.58;2338.00
21;1373.00;1705.57;2203.00
22;1370.00;1723.15;2341.00
23;1370.00;1709.82;2344.00
24;1370.00;1730.41;2199.00
25;1370.00;1707.85;2214.00
26;1370.00;1709.79;2277.00
27;1370.00;1708.04;2332.00
28;1370.00;1711.89;2257.00
29;1370.00;1722.80;2271.00
30;1370.00;1713.78;2192.00
31;1370.00;1722.32;2313.00
32;1370.00;1683.21;2221.00
33;1363.00;1681.88;2276.00
34;1363.00;1688.96;2317.00
35;1328.00;1697.91;2409.00
36;1328.00;1711.19;2169.00
37;1328.00;1708.68;2203.00
38;1328.00;1689.09;2399.00
39;1325.00;1674.96;2206.00
40;1325.00;1649.18;2241.00
41;1325.00;1662.20;2185.00
42;1325.00;1659.94;2220.00
43;1319.00;1647.35;2221.00
44;1319.00;1646.54;2278.00
45;1319.00;1632.70;2183.00
46;1319.00;1647.44;2200.00
47;1319.00;1616.13;2224.00
48;1319.00;1586.69;2301.00
49;1319.00;1592.61;2136.00
50;1319.00;1596.34;2211.00
51;1319.00;1610.38;2361.00
52;1313.00;1596.75;2145.00
53;1313.00;1620.39;2270.00
54;1313.00;1623.05;2306.00
55;1313.00;1604.96;2186.00
56;1311.00;1591.90;2257.00
57;1311.00;1604.20;2230.00
58;1311.00;1616.32;2211.00
59;1311.00;1631.43;2216.00
60;1311.00;1635.12;2144.00
61;1311.00;1605.51;2232.00
62;1311.00;1591.63;2274.00
63;1311.00;1585.72;2198.00
64;1311.00;1597.28;2209.00
65;1311.00;1610.02;2209.00
66;1311.00;1577.24;2167.00
67;1311.00;1593.89;2163.00
68;1311.00;1621.79;2316.00
69;1311.00;1591.06;2293.00
70;1309.00;1612.72;2322.00
71;1309.00;1583.38;2264.00
72;1309.00;1602.31;2162.00
73;1309.00;1618.77;2448.00
74;1309.00;1622.61;2222.00
75;1304.00;1620.79;2252.00
76;1304.00;1607.39;2223.00
77;1304.00;1621.46;2291.00
78;1302.00;1613.72;2300.00
79;1302.00;1611.41;2229.00
80;1302.00;1630.69;2182.00
81;1302.00;1608.71;2225.00
82;1302.00;1581.84;2351.00
83;1302.00;1612.87;2368.00
84;1302.00;1621.65;2289.00
85;1302.00;1633.97;2361.00
86;1302.00;1639.90;2360.00
87;1302.00;1637.18;2272.00
88;1302.00;1627.93;2235.00
89;1302.00;1621.15;2301.00
90;1302.00;1611.93;2251.00
91;1302.00;1610.66;2205.00
92;1302.00;1593.02;2235.00
93;1302.00;1618.16;2239.00
94;1302.00;1616.33;2349.00
95;1302.00;1600.00;2231.00
96;1302.00;1610.31;2224.00
97;1302.00;1589.59;2240.00
98;1302.00;1598.89;2244.00
99;1302.00;1590.74;2209.00
100;1302.00;1593.22;2269.00
101;1302.00;1587.52;2224.00
102;1302.00;1608.14;2285.00
103;1302.00;1579.45;2124.00
104;1302.00;1583.95;2150.00
105;1302.00;1591.58;2170.00
106;1302.00;1619.58;2448.00
107;1302.00;1612.66;2187.00
108;1302.00;1582.81;2156.00
109;1302.00;1600.92;2180.00
110;1302.00;1603.19;2261.00
111;1302.00;1573.91;2293.00
112;1302.00;1611.79;2202.00
113;1302.00;1604.84;2298.00
114;1302.00;1573.10;2261.00
115;1302.00;1594.58;2271.00
116;1302.00;1606.48;2247.00
117;1302.00;1582.47;2280.00
118;1302.00;1606.04;2211.00
119;1302.00;1603.38;2221.00
120;1302.00;1611.55;2159.00
121;1302.00;1608.37;2226.00
122;1296.00;1593.25;2167.00
123;1296.00;1612.45;2275.00
124;1296.00;1617.78;2215.00
125;1296.00;1590.29;2204.00
126;1296.00;1599.05;2254.00
127;1296.00;1597.13;2315.00
128;1296.00;1583.89;2194.00
129;1296.00;1591.83;2258.00
130;1296.00;1581.44;2231.00
131;1296.00;1598.51;2232.00
132;1296.00;1604.43;2334.00
133;1296.00;1586.84;2306.00
134;1296.00;1600.99;2335.00
135;1296.00;1584.48;2177.00
136;1296.00;1601.16;2306.00
137;1296.00;1590.06;2280.00
138;1296.00;1584.38;2282.00
139;1296.00;1604.84;2193.00
140;1296.00;1583.03;2203.00
141;1296.00;1618.63;2293.00
142;1296.00;1601.81;2186.00
143;1296.00;1611.23;2173.00
144;1296.00;1630.14;2290.00
145;1296.00;1607.41;2332.00
146;1296.00;1609.43;2198.00
147;1296.00;1620.62;2208.00
148;1296.00;1611.94;2241.00
149;1296.00;1618.61;2216.00
150;1296.00;1620.52;2246.00
151;1296.00;1621.42;2253.00
152;1296.00;1622.79;2231.00
153;1296.00;1608.31;2278.00
154;1296.00;1602.80;2205.00
155;1296.00;1619.82;2187.00
156;1296.00;1560.38;2360.00
157;1296.00;1613.39;2238.00
158;1296.00;1581.74;2204.00
159;1296.00;1572.27;2260.00
160;1296.00;1588.38;2192.00
161;1296.00;1572.24;2220.00
162;1296.00;1608.56;2240.00
163;1296.00;1595.83;2256.00
164;1296.00;1591.85;2254.00
165;1296.00;1614.96;2301.00
166;1296.00;1581.36;2202.00
167;1296.00;1604.54;2153.00
168;1296.00;1597.25;2287.00
169;1296.00;1609.27;2257.00
170;1296.00;1602.61;2243.00
171;1296.00;1607.02;2234.00
172;1296.00;1616.40;2150.00
173;1296.00;1605.08;2240.00
174;1296.00;1613.99;2189.00
175;1296.00;1581.62;2226.00
176;1296.00;1600.88;2237.00
177;1296.00;1598.98;2209.00
178;1296.00;1579.93;2152.00
179;1296.00;1602.69;2174.00
180;1296.00;1603.72;2208.00
181;1296.00;1602.82;2202.00
182;1296.00;1613.12;2165.00
183;1296.00;1614.96;2218.00
184;1296.00;1611.04;2345.00
185;1296.00;1616.31;2224.00
186;1296.00;1621.67;2272.00
187;1296.00;1594.48;2274.00
188;1296.00;1636.07;2183.00
189;1296.00;1598.12;2226.00
190;1296.00;1621.35;2234.00
191;1296.00;1611.49;2235.00
192;1296.00;1582.87;2241.00
193;1296.00;1612.40;2310.00
194;1296.00;1601.93;2301.00
195;1296.00;1577.11;2245.00
196;1296.00;1600.66;2412.00
