A-n48-k7
Algorithm,Best,Worst,Average,Std
RANDOM,2299.00,3567.00,2942.51,170.84
GREEDY,1371.00,1679.00,1482.36,71.41
SA,1084.00,1159.00,1113.40,20.64
GA,1113.00,1159.00,1134.30,13.68
