A-n39-k5
Algorithm,Best,Worst,Average,Std
RANDOM,1693.00,2652.00,2179.01,129.80
GREEDY,990.00,1239.00,1106.00,51.41
SA,827.00,844.00,834.90,4.85
GA,835.00,890.00,859.30,13.91
